id,new_cpd,,new_reaction,,stoichiometry,ismain,geneid,ecnum,type
1,5,0,1,0,1,1,,,in
2,7,0,1,0,1,1,,,out
3,8,0,2,0,1,1,,,in
4,5,0,2,0,1,1,,,out
5,9,0,3,0,1,1,,,in
6,11,0,3,0,1,1,,,out
7,12,0,4,0,1,1,,,in
8,9,0,4,0,1,1,,,out
9,13,0,5,0,1,1,,,in
10,15,0,5,0,1,1,,,out
11,16,0,6,0,1,1,,,in
12,13,0,6,0,1,1,,,out
13,1,0,7,0,1,1,,,in
14,3,0,7,0,1,1,,,out
15,1,0,8,0,1,1,,,in
16,4,0,8,0,1,1,,,out
17,19,0,9,0,1,1,,,in
18,20,0,9,0,1,1,,,out
19,19,0,10,0,1,1,,,in
20,21,0,10,0,1,1,,,out
21,22,0,11,0,1,1,,,in
22,23,0,11,0,1,1,,,out
23,22,0,12,0,1,1,,,in
24,24,0,12,0,1,1,,,out
25,79,0,20,0,1,1,,,in
26,80,0,20,0,1,1,,,out
27,81,0,21,0,1,1,,,in
28,79,0,21,0,1,1,,,out
29,82,0,22,0,1,1,,,in
30,83,0,22,0,1,1,,,out
31,84,0,23,0,1,1,,,in
32,82,0,23,0,1,1,,,out
33,86,0,26,0,1,1,,,in
34,85,0,26,0,1,1,,,out
35,88,0,27,0,1,1,,,in
36,89,0,27,0,1,1,,,out
37,89,0,28,0,1,1,,,in
38,88,0,28,0,1,1,,,out
39,88,0,29,0,1,1,,,in
40,90,0,29,0,1,1,,,out
41,90,0,30,0,1,1,,,in
42,88,0,30,0,1,1,,,out
43,91,0,31,0,1,1,,,in
44,92,0,31,0,1,1,,,out
45,92,0,32,0,1,1,,,in
46,91,0,32,0,1,1,,,out
47,91,0,33,0,1,1,,,in
48,93,0,33,0,1,1,,,out
49,93,0,34,0,1,1,,,in
50,91,0,34,0,1,1,,,out
51,632,0,39,0,1,1,,,in
52,3811,0,39,0,1,1,,,in
53,630,0,39,0,1,1,,,out
54,3812,0,39,0,1,1,,,out
55,115,0,42,0,1,1,6566,0,in
56,3174,0,42,0,1,1,6566,0,in
57,114,0,42,0,1,1,6566,0,out
58,3173,0,42,0,1,1,6566,0,out
59,4112,0,43,0,1,1,57835,0,in
60,4111,0,43,0,1,1,57835,0,out
61,127,0,44,0,1,1,,,in
62,128,0,44,0,1,1,,,out
63,138,0,46,0,1,1,,,in
64,632,0,46,0,1,1,,,in
65,139,0,46,0,1,1,,,out
66,630,0,46,0,1,1,,,out
67,147,0,48,0,1,1,,,in
68,148,0,48,0,1,1,,,out
69,152,0,50,0,1,1,,,in
70,151,0,50,0,1,1,,,out
71,157,0,57,0,1,1,,,in
72,160,0,57,0,1,1,,,out
73,162,0,58,0,1,1,,,in
74,163,0,58,0,1,1,,,out
75,164,0,60,0,1,1,18,0,in
76,162,0,60,0,1,1,18,0,out
77,235,0,74,0,1,1,,,in
78,236,0,74,0,1,1,,,out
79,238,0,75,0,1,1,,,in
80,3173,0,75,0,1,1,,,in
81,240,0,75,0,1,1,,,out
82,3177,0,75,0,1,1,,,out
83,241,0,76,0,1,1,,,in
84,3173,0,76,0,1,1,,,in
85,243,0,76,0,1,1,,,out
86,3177,0,76,0,1,1,,,out
87,280,0,81,0,1,1,8604,0,in
88,748,0,81,0,1,1,8604,0,in
89,279,0,81,0,1,1,8604,0,out
90,751,0,81,0,1,1,8604,0,out
91,310,0,91,0,1,1,,,in
92,313,0,91,0,1,1,,,out
93,325,0,94,0,1,1,,,in
94,324,0,94,0,1,1,,,out
95,340,0,97,0,1,1,,,in
96,3173,0,97,0,1,1,,,in
97,342,0,97,0,1,1,,,out
98,3177,0,97,0,1,1,,,out
99,343,0,98,0,1,1,,,in
100,344,0,98,0,1,1,,,out
101,343,0,99,0,1,1,,,in
102,345,0,99,0,1,1,,,out
103,343,0,100,0,1,1,,,in
104,346,0,100,0,1,1,,,out
105,348,0,101,0,1,1,,,in
106,347,0,101,0,1,1,,,out
107,354,0,102,0,1,1,,,in
108,353,0,102,0,1,1,,,out
109,352,0,104,0,1,1,,,in
110,351,0,104,0,1,1,,,out
111,374,0,107,0,1,1,,,in
112,376,0,107,0,1,1,,,out
113,377,0,108,0,1,1,,,in
114,378,0,108,0,1,1,,,out
115,370,0,110,0,1,1,,,in
116,369,0,110,0,1,1,,,out
117,373,0,111,0,1,1,,,in
118,369,0,111,0,1,1,,,out
119,382,0,112,0,1,1,,,in
120,383,0,112,0,1,1,,,out
121,384,0,113,0,1,1,,,in
122,386,0,113,0,1,1,,,out
123,393,0,114,0,1,1,6573,0,in
124,3182,0,114,0,1,1,6573,0,in
125,392,0,114,0,1,1,6573,0,out
126,3183,0,114,0,1,1,6573,0,out
127,397,0,116,0,1,1,,,in
128,396,0,116,0,1,1,,,out
129,415,0,124,0,1,1,2348,0,in
130,414,0,124,0,1,1,2348,0,out
131,415,0,125,0,1,1,6573,0,in
132,3182,0,125,0,1,1,6573,0,in
133,414,0,125,0,1,1,6573,0,out
134,3183,0,125,0,1,1,6573,0,out
135,424,0,126,0,1,1,,,in
136,426,0,126,0,1,1,,,out
137,427,0,127,0,1,1,,,in
138,424,0,127,0,1,1,,,out
139,429,0,128,0,1,1,,,in
140,431,0,128,0,1,1,,,out
141,432,0,129,0,1,1,,,in
142,429,0,129,0,1,1,,,out
143,434,0,130,0,1,1,,,in
144,435,0,130,0,1,1,,,out
145,434,0,131,0,1,1,,,in
146,436,0,131,0,1,1,,,out
147,443,0,132,0,1,1,,,in
148,445,0,132,0,1,1,,,out
149,446,0,133,0,1,1,,,in
150,443,0,133,0,1,1,,,out
151,448,0,134,0,1,1,,,in
152,447,0,134,0,1,1,,,out
153,449,0,135,0,1,1,,,in
154,451,0,135,0,1,1,,,out
155,452,0,136,0,1,1,,,in
156,449,0,136,0,1,1,,,out
157,453,0,137,0,1,1,,,in
158,455,0,137,0,1,1,,,out
159,456,0,138,0,1,1,,,in
160,453,0,138,0,1,1,,,out
161,463,0,147,0,1,1,,,in
162,462,0,147,0,1,1,,,out
163,464,0,161,0,1,1,,,in
164,465,0,161,0,1,1,,,out
165,311,0,163,0,1,1,,,in
166,3174,0,163,0,1,1,,,in
167,310,0,163,0,1,1,,,out
168,3173,0,163,0,1,1,,,out
169,312,0,164,0,1,1,,,in
170,3176,0,164,0,1,1,,,in
171,310,0,164,0,1,1,,,out
172,3173,0,164,0,1,1,,,out
173,311,0,165,0,1,1,6539,0,in
174,310,0,165,0,1,1,6539,0,out
175,472,0,170,0,1,1,9194,0,in
176,3174,0,170,0,1,1,9194,0,in
177,471,0,170,0,1,1,9194,0,out
178,3173,0,170,0,1,1,9194,0,out
179,471,0,171,0,1,1,,,in
180,3173,0,171,0,1,1,,,in
181,473,0,171,0,1,1,,,out
182,3177,0,171,0,1,1,,,out
183,471,0,178,0,1,1,,,in
184,474,0,178,0,1,1,,,out
185,477,0,179,0,1,1,,,in
186,476,0,179,0,1,1,,,out
187,478,0,180,0,1,1,,,in
188,476,0,180,0,1,1,,,out
189,479,0,181,0,1,1,,,in
190,476,0,181,0,1,1,,,out
191,480,0,182,0,1,1,,,in
192,476,0,182,0,1,1,,,out
193,481,0,185,0,1,1,,,in
194,482,0,185,0,1,1,,,out
195,481,0,188,0,1,1,,,in
196,484,0,188,0,1,1,,,out
197,481,0,189,0,1,1,,,in
198,485,0,189,0,1,1,,,out
199,489,0,190,0,1,1,9194,0,in
200,3174,0,190,0,1,1,9194,0,in
201,488,0,190,0,1,1,9194,0,out
202,3173,0,190,0,1,1,9194,0,out
203,488,0,191,0,1,1,,,in
204,3173,0,191,0,1,1,,,in
205,490,0,191,0,1,1,,,out
206,3177,0,191,0,1,1,,,out
207,493,0,192,0,1,1,,,in
208,494,0,192,0,1,1,,,out
209,493,0,193,0,1,1,,,in
210,495,0,193,0,1,1,,,out
211,502,0,194,0,1,1,,,in
212,501,0,194,0,1,1,,,out
213,503,0,195,0,1,1,,,in
214,501,0,195,0,1,1,,,out
215,505,0,196,0,1,1,,,in
216,504,0,196,0,1,1,,,out
217,506,0,197,0,1,1,,,in
218,504,0,197,0,1,1,,,out
219,497,0,200,0,1,1,,,in
220,496,0,200,0,1,1,,,out
221,498,0,201,0,1,1,,,in
222,496,0,201,0,1,1,,,out
223,511,0,206,0,1,1,,,in
224,509,0,206,0,1,1,,,out
225,515,0,207,0,1,1,,,in
226,516,0,207,0,1,1,,,out
227,515,0,208,0,1,1,,,in
228,517,0,208,0,1,1,,,out
229,527,0,212,0,1,1,,,in
230,525,0,212,0,1,1,,,out
231,532,0,215,0,1,1,,,in
232,533,0,215,0,1,1,,,out
233,532,0,216,0,1,1,,,in
234,534,0,216,0,1,1,,,out
235,535,0,217,0,1,1,,,in
236,536,0,217,0,1,1,,,out
237,535,0,218,0,1,1,,,in
238,537,0,218,0,1,1,,,out
239,539,0,219,0,1,1,,,in
240,538,0,219,0,1,1,,,out
241,540,0,220,0,1,1,,,in
242,538,0,220,0,1,1,,,out
243,541,0,221,0,1,1,,,in
244,542,0,221,0,1,1,,,out
245,541,0,222,0,1,1,,,in
246,543,0,222,0,1,1,,,out
247,544,0,225,0,1,1,,,in
248,3173,0,225,0,1,1,,,in
249,545,0,225,0,1,1,,,out
250,3176,0,225,0,1,1,,,out
251,544,0,227,0,1,1,,,in
252,546,0,227,0,1,1,,,out
253,550,0,228,0,1,1,,,in
254,549,0,228,0,1,1,,,out
255,551,0,229,0,1,1,,,in
256,549,0,229,0,1,1,,,out
257,557,0,244,0,1,1,,,in
258,558,0,244,0,1,1,,,out
259,466,0,250,0,1,1,,,in
260,3173,0,250,0,1,1,,,in
261,469,0,250,0,1,1,,,out
262,3177,0,250,0,1,1,,,out
263,467,0,251,0,1,1,,,in
264,3174,0,251,0,1,1,,,in
265,466,0,251,0,1,1,,,out
266,3173,0,251,0,1,1,,,out
267,466,0,252,0,1,1,,,in
268,468,0,252,0,1,1,,,out
269,563,0,259,0,1,1,,,in
270,562,0,259,0,1,1,,,out
271,564,0,260,0,1,1,,,in
272,562,0,260,0,1,1,,,out
273,565,0,261,0,1,1,,,in
274,566,0,261,0,1,1,,,out
275,568,0,271,0,1,1,2030,0,in
276,567,0,271,0,1,1,2030,0,out
277,568,0,272,0,1,1,9153,0,in
278,4112,0,272,0,1,1,9153,0,in
279,567,0,272,0,1,1,9153,0,out
