cid,,rid,,,,,ismain,typpe
5,0,1,0,1,,,1,in
7,0,1,0,1,,,1,out
8,0,2,0,1,,,1,in
5,0,2,0,1,,,1,out
9,0,3,0,1,,,1,in
11,0,3,0,1,,,1,out
12,0,4,0,1,,,1,in
9,0,4,0,1,,,1,out
13,0,5,0,1,,,1,in
15,0,5,0,1,,,1,out
16,0,6,0,1,,,1,in
13,0,6,0,1,,,1,out
1,0,7,0,1,,,1,in
3,0,7,0,1,,,1,out
1,0,8,0,1,,,1,in
4,0,8,0,1,,,1,out
19,0,9,0,1,,,1,in
20,0,9,0,1,,,1,out
19,0,10,0,1,,,1,in
21,0,10,0,1,,,1,out
22,0,11,0,1,,,1,in
23,0,11,0,1,,,1,out
22,0,12,0,1,,,1,in
24,0,12,0,1,,,1,out
79,0,20,0,1,,,1,in
80,0,20,0,1,,,1,out
81,0,21,0,1,,,1,in
79,0,21,0,1,,,1,out
82,0,22,0,1,,,1,in
83,0,22,0,1,,,1,out
84,0,23,0,1,,,1,in
82,0,23,0,1,,,1,out
86,0,26,0,1,,,1,in
85,0,26,0,1,,,1,out
88,0,27,0,1,,,1,in
89,0,27,0,1,,,1,out
89,0,28,0,1,,,1,in
88,0,28,0,1,,,1,out
88,0,29,0,1,,,1,in
90,0,29,0,1,,,1,out
90,0,30,0,1,,,1,in
88,0,30,0,1,,,1,out
91,0,31,0,1,,,1,in
92,0,31,0,1,,,1,out
92,0,32,0,1,,,1,in
91,0,32,0,1,,,1,out
91,0,33,0,1,,,1,in
93,0,33,0,1,,,1,out
93,0,34,0,1,,,1,in
91,0,34,0,1,,,1,out
3811,0,39,0,1,,,1,in
632,0,39,0,1,,,1,in
3812,0,39,0,1,,,1,out
630,0,39,0,1,,,1,out
115,0,42,0,1,,,1,in
3174,0,42,0,1,,,1,in
3173,0,42,0,1,,,1,out
114,0,42,0,1,,,1,out
3491,0,43,0,1,,,1,in
4112,0,43,0,1,,,1,in
3490,0,43,0,1,,,1,out
4111,0,43,0,1,,,1,out
127,0,44,0,1,,,1,in
128,0,44,0,1,,,1,out
632,0,46,0,1,,,1,in
138,0,46,0,1,,,1,in
630,0,46,0,1,,,1,out
139,0,46,0,1,,,1,out
147,0,48,0,1,,,1,in
148,0,48,0,1,,,1,out
152,0,50,0,1,,,1,in
151,0,50,0,1,,,1,out
157,0,57,0,1,,,1,in
160,0,57,0,1,,,1,out
162,0,58,0,1,,,1,in
163,0,58,0,1,,,1,out
164,0,60,0,1,,,1,in
162,0,60,0,1,,,1,out
235,0,74,0,1,,,1,in
236,0,74,0,1,,,1,out
3173,0,75,0,1,,,1,in
238,0,75,0,1,,,1,in
3177,0,75,0,1,,,1,out
240,0,75,0,1,,,1,out
3173,0,76,0,1,,,1,in
241,0,76,0,1,,,1,in
3177,0,76,0,1,,,1,out
243,0,76,0,1,,,1,out
280,0,81,0,1,,,1,in
748,0,81,0,1,,,1,in
279,0,81,0,1,,,1,out
751,0,81,0,1,,,1,out
310,0,91,0,1,,,1,in
313,0,91,0,1,,,1,out
325,0,94,0,1,,,1,in
324,0,94,0,1,,,1,out
3173,0,97,0,1,,,1,in
340,0,97,0,1,,,1,in
3177,0,97,0,1,,,1,out
342,0,97,0,1,,,1,out
343,0,98,0,1,,,1,in
344,0,98,0,1,,,1,out
343,0,99,0,1,,,1,in
345,0,99,0,1,,,1,out
343,0,100,0,1,,,1,in
346,0,100,0,1,,,1,out
348,0,101,0,1,,,1,in
347,0,101,0,1,,,1,out
354,0,102,0,1,,,1,in
353,0,102,0,1,,,1,out
352,0,104,0,1,,,1,in
351,0,104,0,1,,,1,out
374,0,107,0,1,,,1,in
376,0,107,0,1,,,1,out
377,0,108,0,1,,,1,in
378,0,108,0,1,,,1,out
370,0,110,0,1,,,1,in
369,0,110,0,1,,,1,out
373,0,111,0,1,,,1,in
369,0,111,0,1,,,1,out
382,0,112,0,1,,,1,in
383,0,112,0,1,,,1,out
384,0,113,0,1,,,1,in
386,0,113,0,1,,,1,out
3182,0,114,0,1,,,1,in
393,0,114,0,1,,,1,in
392,0,114,0,1,,,1,out
3183,0,114,0,1,,,1,out
397,0,116,0,1,,,1,in
396,0,116,0,1,,,1,out
415,0,124,0,1,,,1,in
414,0,124,0,1,,,1,out
3182,0,125,0,1,,,1,in
415,0,125,0,1,,,1,in
3183,0,125,0,1,,,1,out
414,0,125,0,1,,,1,out
424,0,126,0,1,,,1,in
426,0,126,0,1,,,1,out
427,0,127,0,1,,,1,in
424,0,127,0,1,,,1,out
429,0,128,0,1,,,1,in
431,0,128,0,1,,,1,out
432,0,129,0,1,,,1,in
429,0,129,0,1,,,1,out
434,0,130,0,1,,,1,in
435,0,130,0,1,,,1,out
434,0,131,0,1,,,1,in
436,0,131,0,1,,,1,out
443,0,132,0,1,,,1,in
445,0,132,0,1,,,1,out
446,0,133,0,1,,,1,in
443,0,133,0,1,,,1,out
448,0,134,0,1,,,1,in
447,0,134,0,1,,,1,out
449,0,135,0,1,,,1,in
451,0,135,0,1,,,1,out
452,0,136,0,1,,,1,in
449,0,136,0,1,,,1,out
453,0,137,0,1,,,1,in
455,0,137,0,1,,,1,out
456,0,138,0,1,,,1,in
453,0,138,0,1,,,1,out
463,0,147,0,1,,,1,in
462,0,147,0,1,,,1,out
464,0,161,0,1,,,1,in
465,0,161,0,1,,,1,out
3174,0,163,0,1,,,1,in
311,0,163,0,1,,,1,in
3173,0,163,0,1,,,1,out
310,0,163,0,1,,,1,out
312,0,164,0,1,,,1,in
3176,0,164,0,1,,,1,in
3173,0,164,0,1,,,1,out
310,0,164,0,1,,,1,out
4112,0,165,0,1,,,1,in
311,0,165,0,1,,,1,in
4111,0,165,0,1,,,1,out
310,0,165,0,1,,,1,out
3174,0,170,0,1,,,1,in
472,0,170,0,1,,,1,in
