mets,metNames,metHMDB,metKeggID,metEHMNID,metFormulas,metCHEBIID,metPubChemID,metHepatoNetID,metInchiString,metCharge,b,c
10fthf5glu[c],10-formyltetrahydrofolate-[Glu](5),,,,C40H45N11O19,,,,,,0,0
10fthf5glu[l],10-formyltetrahydrofolate-[Glu](5),,,,C40H45N11O19,,,,,,0,0
10fthf5glu[m],10-formyltetrahydrofolate-[Glu](5),,,,C40H45N11O19,,,,,,0,0
10fthf6glu[c],10-formyltetrahydrofolate-[Glu](6),,,,C45H51N12O22,,,,"'InChI=1/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7/t21?,23?,24?,25?,26?,27?,28-/m1/s1",,0,0
10fthf6glu[l],10-formyltetrahydrofolate-[Glu](6),,,,C45H51N12O22,,,,"'InChI=1/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7/t21?,23?,24?,25?,26?,27?,28-/m1/s1",,0,0
10fthf6glu[m],10-formyltetrahydrofolate-[Glu](6),,,,C45H51N12O22,,,,"'InChI=1/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7/t21?,23?,24?,25?,26?,27?,28-/m1/s1",,0,0
10fthf7glu[c],10-formyltetrahydrofolate-[Glu](7),,,,C50H57N13O25,,,,,,0,0
10fthf7glu[l],10-formyltetrahydrofolate-[Glu](7),,,,C50H57N13O25,,,,,,0,0
10fthf7glu[m],10-formyltetrahydrofolate-[Glu](7),,,,C50H57N13O25,,,,,,0,0
10fthf[c],10-Formyltetrahydrofolate,HMDB00972,C00234,C00234,C20H21N7O7,15637,122347,HC00212,"'InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11-,13+/m1/s1",,0,0
10fthf[l],10-Formyltetrahydrofolate,HMDB00972,C00234,C00234,C20H21N7O7,15637,122347,HC00212,"'InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11-,13+/m1/s1",,0,0
10fthf[m],10-Formyltetrahydrofolate,HMDB00972,C00234,C00234,C20H21N7O7,15637,122347,HC00212,"'InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11-,13+/m1/s1",,0,0
11docrtsl[c],11-deoxycortisol,HMDB00015,C05488,C05488,C21H30O4,28324,,,"'InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",,0,0
11docrtsl[m],11-deoxycortisol,HMDB00015,C05488,C05488,C21H30O4,28324,,,"'InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",,0,0
11docrtsl[r],11-deoxycortisol,HMDB00015,C05488,C05488,C21H30O4,28324,,,"'InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",,0,0
11docrtstrn[c],11-deoxycorticosterone,HMDB00016,C03205,C03205,C21H30O3,16973,6166,,"'InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",,0,0
11docrtstrn[m],11-deoxycorticosterone,HMDB00016,C03205,C03205,C21H30O3,16973,6166,,"'InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",,0,0
11docrtstrn[r],11-deoxycorticosterone,HMDB00016,C03205,C03205,C21H30O3,16973,6166,,"'InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",,0,0
13dampp[c],trimethylenediaminium,HMDB00002,C00986,C00986,C3H12N2,15725,428,,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2,,0,0
h2o[c],Water,HMDB02111,C00001,,H2O,15377,962,,InChI=1S/H2O/h1H2,,0,0
o2[c],O2,HMDB01377,C00007,C00007,O2,15379,977,HC00017,InChI=1S/O2/c1-2,,0,0
bamppald[c],beta-Aminopropion aldehyde,HMDB01106,C05665,C05665,C3H8NO,18090,75,,"InChI=1/C3H7NO/c4-2-1-3-5/h3H,1-2,4H2",,0,0
h2o2[c],Hydrogen peroxide,HMDB03125,C00027,C00027,H2O2,16240,784,HC00036,InChI=1S/H2O2/c1-2/h1-2H,,0,0
