name,main_class,sub_class,sys_name,synonyms,pubchem_cid,exactmass,formula,inchi_key,MW_regno
Rugosal,"1,2-dioxanes","1,2-dioxanes","(4R,4aS,7R,7aS)-4,4a,7,7a-tetramethyl-4,6,7,8-tetrahydrocyclopenta[f]benzofuran-5-one","Rugosal; (4R,4aS,7R,7aS)-4,4a,7,7a-tetramethyl-4,6,7,8-tetrahydrocyclopenta[f]benzofuran-5-one; Rugosal A; AC1L9CQB; C09717",442391,266.15181,C15H22O4,NTVXLOKDTRVPSZ-FQKPHLNHSA-N,69293
Malondialdehyde,"1,3-dicarbonyl compounds","1,3-dicarbonyl compounds",propanedial,Malondialdehyde,10964,72.02113,C3H4O2,WSMYVTOQOOLQHP-UHFFFAOYSA-N,38821
Alpha-CEHC,1-benzopyrans,1-benzopyrans,"3-(6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-yl)propanoic acid",,9943542,278.151809,C16H22O4,AXODOWFEFKOVSH-UHFFFAOYSA-N,37844
Gamma-CEHC,1-benzopyrans,1-benzopyrans,"3-(2,7,8-trimethyl-3,4-dihydro-2H-1-benzopyran-2-yl)propanoic acid",,15887183,248.141245,C15H20O3,WTGHQIKMADLFAH-UHFFFAOYSA-N,37938
"2,3-Dihydro-6-methoxy-2,2-dimethyl-4H-1-benzopyran-4-one",1-benzopyrans,"2,2-dimethyl-1-benzopyrans","6-methoxy-2,2-dimethyl-3,4-dihydro-2H-1-benzopyran-4-one",,12531626,206.094295,C12H14O3,ZCZUDOBLRMXOGV-UHFFFAOYSA-N,49348
Drummondin A,1-benzopyrans,"2,2-dimethyl-1-benzopyrans","4-[(5,7-dihydroxy-2,2-dimethyl-8-propanoyl-chromen-6-yl)methyl]-3,5-dihydroxy-6,6-dimethyl-2-propanoyl-cyclohexa-2,4-dien-1-one","Drummondin A; 4-[(5,7-dihydroxy-2,2-dimethyl-8-propanoyl-chromen-6-yl)methyl]-3,5-dihydroxy-6,6-dimethyl-2-propanoyl-cyclohexa-2,4-dien-1-one; AC1NSUZ4; CHEMBL484239; C09004",5316970,470.19407,C26H30O8,LHWKHBMFNXXUHX-UHFFFAOYSA-N,70614
Eupatoriochromene,1-benzopyrans,"2,2-dimethyl-1-benzopyrans","1-(7-hydroxy-2,2-dimethyl-chromen-6-yl)ethanone","Eupatoriochromene; 1-(7-hydroxy-2,2-dimethyl-chromen-6-yl)ethanone; 1-(7-hydroxy-2,2-dimethyl-2H-chromen-6-yl)ethanone; Ethanone, 1-(7-hydroxy-2,2-dimethyl-2H-1-benzopyran-6-yl)-; 7-demethylencecalin",100768,218.094295,C13H14O3,SVUVYHFYZBCYRF-UHFFFAOYSA-N,68060
Mallotochromene,1-benzopyrans,"2,2-dimethyl-1-benzopyrans","1-[3-[(8-acetyl-5,7-dihydroxy-2,2-dimethyl-chromen-6-yl)methyl]-2,6-dihydroxy-4-methoxy-5-methyl-phenyl]ethanone","Mallotochromene; 1-[3-[(8-acetyl-5,7-dihydroxy-2,2-dimethyl-chromen-6-yl)methyl]-2,6-dihydroxy-4-methoxy-5-methyl-phenyl]ethanone; AC1L2R8I; AC1Q5D3U; CHEMBL521361",126969,442.16277,C24H26O8,DIXWVWLWNGDQEC-UHFFFAOYSA-N,68165
1-Isomangostin,1-benzopyrans,8-prenylated xanthones,"5,9-dihydroxy-10-methoxy-2,2-dimethyl-11-(3-methylbut-2-en-1-yl)-2,3,4,12-tetrahydro-1,7-dioxatetraphen-12-one",1-Isomangostin,5281641,410.17294,C24H26O6,JUHXHWKPHWGZKL-UHFFFAOYSA-N,44142
Nedocromil,1-benzopyrans,Chromenopyridines,"9-ethyl-4,6-dioxo-10-propyl-4H,6H,9H-chromeno[7,6-b]pyridine-2,8-dicarboxylic acid","Nedocromil; 9-ethyl-4,6-dioxo-10-propyl-4H,6H,9H-chromeno[7,6-b]pyridine-2,8-dicarboxylic acid; NEDOCROMIL; Tilade; Nedocromilo; Nedocromilum; Alocril; Nedocromilum [Latin]; Nedocromilo [Spanish]; FPL-59002; 9-Ethyl-4,6-dioxo-10-propyl-6,9-dihydro-4H-pyrano[3,2-g]",50294,371.100504,C19H17NO7,RQTOOFIXOKYGAN-UHFFFAOYSA-N,43024
Elaeocarpine,1-benzopyrans,Chromones,"(6aR,12aR,12bR)-11-methyl-1,2,3,5,6,6a,12a,12b-octahydrochromeno[2,3-g]indolizin-12-one","Elaeocarpine; (6aR,12aR,12bR)-11-methyl-1,2,3,5,6,6a,12a,12b-octahydrochromeno[2,3-g]indolizin-12-one; AC1L9DIQ; C10591",442854,257.141579,C16H19NO2,DXTYYNIKCKARPP-HNVBAWDGSA-N,69473
Eugenitol,1-benzopyrans,Chromones,"5,7-dihydroxy-2,6-dimethyl-4H-chromen-4-one","Eugenitol; 5,7-dihydroxy-2,6-dimethyl-4H-chromen-4-one; 5,7-dihydroxy-2,6-dimethylchromen-4-one; KBio2_001059; EUGENITOL; Spectrum_000579; SpecPlus_000031; AGN-PC-0LLIOM; Spectrum2_000749; Spectrum3_000183; Spectrum4_001500; 5,7-Dihydroxy-2,6-dimethyl-4H-chromen-4-",5036604,206.05791,C11H10O4,HMAUJNAGOIPKDG-UHFFFAOYSA-N,43861
Isoeugenitol,1-benzopyrans,Chromones,"5,7-dihydroxy-2,8-dimethyl-4H-chromen-4-one","Isoeugenitol; 5,7-dihydroxy-2,8-dimethyl-4H-chromen-4-one; 5,7-dihydroxy-2,8-dimethylchromen-4-one; Isoeugenitol; KBio1_001073; Spectrum_000601; SpecPlus_000033; AC1NSX0F; Spectrum2_000569; Spectrum3_000687; Spectrum4_001501; Spectrum5_000261; 5,7-Dihydroxy-2,8-dime",5318562,206.05791,C11H10O4,XSSGQRFNGHRFBC-UHFFFAOYSA-N,43864
Lathodoratin,1-benzopyrans,Chromones,"3-ethyl-5,7-dihydroxy-chromen-4-one","AC1NQYDM; C09012; 3-ethyl-5,7-dihydroxychromen-4-one; 3-Ethyl-5,7-dihydroxy-4H-chromen-4-one",5281344,206.057909,C11H10O4,SCZKCXUGDWJJGV-UHFFFAOYSA-N,70205
Stigmatellin a,1-benzopyrans,Chromones,"2-[(3S,4S,5S,6S,7E,9E,11E)-4,6-dimethoxy-3,5,11-trimethyl-trideca-7,9,11-trienyl]-8-hydroxy-5,7-dimethoxy-3-methyl-chromen-4-one","Stigmatellin a; 2-[(3S,4S,5S,6S,7E,9E,11E)-4,6-dimethoxy-3,5,11-trimethyl-trideca-7,9,11-trienyl]-8-hydroxy-5,7-dimethoxy-3-methyl-chromen-4-one; stigmatellin; AC1L9LCK; CHEMBL486556",447884,514.293055,C30H42O7,UZHDGDDPOPDJGM-CVOZLMQJSA-N,69929
Stigmatellin Y,1-benzopyrans,Chromones,"2-[(3S,4S,5S,6S,7E,9E,11E)-4,6-dimethoxy-3,5,11-trimethyl-trideca-7,9,11-trienyl]-7-hydroxy-5-methoxy-3-methyl-chromen-4-one","Stigmatellin Y; 2-[(3S,4S,5S,6S,7E,9E,11E)-4,6-dimethoxy-3,5,11-trimethyl-trideca-7,9,11-trienyl]-7-hydroxy-5-methoxy-3-methyl-chromen-4-one; AC1NQZGH; C12150",5282078,484.28249,C29H40O6,BXPDHYNAAYOQOQ-XBBODHJJSA-N,70524
6-Deoxyjacareubin,1-benzopyrans,Pyranoxanthones,"5,10-dihydroxy-2,2-dimethyl-pyrano[3,2-b]xanthen-6-one","6-Deoxyjacareubin; 5,10-dihydroxy-2,2-dimethyl-pyrano[3,2-b]xanthen-6-one; 6-Desoxyjacareubin; 6-Dehydroxyjacareubin; AC1NQYRP; Jacareubin, 6-deoxy-",5281629,310.084125,C18H14O5,NHNIESSJWQBRJW-UHFFFAOYSA-N,70362
Dehydrocycloguanandin,1-benzopyrans,Pyranoxanthones,"8-hydroxy-2,2-dimethyl-pyrano[3,2-c]xanthen-7-one","Dehydrocycloquanandin; AC1NQYRD; C10055; SureCN2992768; 8-hydroxy-2,2-dimethylpyrano[3,2-c]xanthen-7-one",5281625,294.089209,C18H14O4,WTSFSOWKXDTLJX-UHFFFAOYSA-N,70361
Gambogic acid,1-benzopyrans,Pyranoxanthones,"1,6-dihydroxy-3,5-dimethoxy-xanthen-9-one","Gambogic acid; 1,6-dihydroxy-3,5-dimethoxy-xanthen-9-one; SureCN3857525; C10062; I07-0200",5281632,628.30362,C38H44O8,GEZHEQNLKAOMCA-PLUQQRNKSA-N,70364
Jacareubin,1-benzopyrans,Pyranoxanthones,"5,9,10-trihydroxy-2,2-dimethyl-pyrano[3,2-b]xanthen-6-one","Jacareubin; 5,9,10-trihydroxy-2,2-dimethyl-pyrano[3,2-b]xanthen-6-one; AC1NQYSV; C10074",5281644,326.07904,C18H14O6,UCLUVPCGXYTYEK-UHFFFAOYSA-N,70368
Macluraxanthone,1-benzopyrans,Pyranoxanthones,"12-(1,1-dimethylallyl)-5,9,10-trihydroxy-2,2-dimethyl-pyrano[3,2-b]xanthen-6-one","Macluraxanthone; 12-(1,1-dimethylallyl)-5,9,10-trihydroxy-2,2-dimethyl-pyrano[3,2-b]xanthen-6-one; NSC107228; 3-Hydroxyblancoxanthone; Spectrum_000523; SpecPlus_000294",5281646,394.14164,C23H22O6,XRVLGJCHUWXTDX-UHFFFAOYSA-N,70370
Morellin,1-benzopyrans,Pyranoxanthones,"(2Z)-4-[(1R,3aS,5S,14aS)-8-hydroxy-3,3,11,11-tetramethyl-13-(3-methylbut-2-en-1-yl)-7,15-dioxo-3a,4,5,7-tetrahydro-3H,11H-1,5-methanofuro[3,4-g]pyrano[3,2-b]xanthen-1-yl]-2-methylbut-2-enal",Morellin,71306322,544.246104,C33H36O7,COQAPWLZSHQTKA-MSDOJSJISA-N,53302
Euglobal Ia1,1-benzopyrans,Xanthenes,"6,8-dihydroxy-4a-methyl-9-(2-methylpropyl)-2-(propan-2-yl)-2,4a,9,9a-tetrahydro-1H-xanthene-5,7-dicarbaldehyde",Euglobal Ia1,3530567,386.209325,C23H30O5,GCAXPYWXIWWHHT-UHFFFAOYSA-N,44172
