Metabolite abbreviation,Kegg ID,Kegg ID_1,EHMN ID
10fthf[c],C00234,[],C00234
10fthf[e],C00234,[],C00234
10fthf[l],C00234,[],C00234
10fthf[m],C00234,[],C00234
10fthf5glu[c],[],[],[]
10fthf5glu[e],[],[],[]
10fthf5glu[l],[],[],[]
10fthf5glu[m],[],[],[]
10fthf6glu[c],[],[],[]
10fthf6glu[e],[],[],[]
10fthf6glu[l],[],[],[]
10fthf6glu[m],[],[],[]
10fthf7glu[c],[],[],[]
10fthf7glu[e],[],[],[]
10fthf7glu[l],[],[],[]
10fthf7glu[m],[],[],[]
11_cis_retfa[c],[],[],[]
11_cis_retfa[e],[],[],[]
11docrtsl[c],C05488,[],C05488
11docrtsl[m],C05488,[],C05488
11docrtsl[r],C05488,[],C05488
11docrtstrn[c],C03205,[],C03205
11docrtstrn[m],C03205,[],C03205
11docrtstrn[r],C03205,[],C03205
12dgr120[e],C00641,[],C00641
12dgr120[g],C00641,[],C00641
12dgr120[m],C00641,[],C00641
12dgr120[n],C00641,[],C00641
12dgr120[r],C00641,[],C00641
12harachd[r],[],[],[]
12HPET[c],C05965,C04820,[]
12ppd_R[c],C00583,C02912,[]
12ppd_S[c],C02917,[],[]
12RHPET[c],C14812,[],[]
13_cis_oretn[c],[],[],[]
13_cis_oretn[n],[],[],[]
13_cis_retn[c],D00348,C07058;C15493;C00777,CE2952
13_cis_retn[n],D00348,C07058;C15493;C00777,CE2952
13_cis_retn[r],D00348,C07058;C15493;C00777,CE2952
13_cis_retnglc[c],C11061,[],[]
13_cis_retnglc[e],C11061,[],[]
13_cis_retnglc[r],C11061,[],[]
13dampp[c],C00986,[],C00986
13dpg[c],C00236,[],C00236
15HPET[c],C05966,[],C05966
15HPET[n],C05966,[],C05966
15HPET[r],C05966,[],C05966
17ahprgnlone[c],C05138,[],C05138
17ahprgnlone[g],C05138,[],C05138
17ahprgnlone[l],C05138,[],C05138
17ahprgnlone[m],C05138,[],C05138
17ahprgnlone[r],C05138,[],C05138
17ahprgstrn[c],C01176,D08052,C01176
17ahprgstrn[m],C01176,D08052,C01176
17ahprgstrn[r],C01176,D08052,C01176
18harachd[r],[],[],[]
1a2425thvitd2[m],[],[],[]
1a2425thvitd3[m],C18231,[],[]
1a25dhvitd2[m],[],[],[]
1a25dhvitd3[c],C01673,D00129,[]
1a25dhvitd3[m],C01673,D00129,C01673
1a25dhvitd3[n],C01673,D00129,[]
1ddecg3p[c],C00681,[],C00681
