compoundExRef_id,compoundExRef_idtype,compoundExRef_idvalue,compound_id,compoundExRef_primary
1,CheBI,15637,1,1
2,CheBI,57454,1,0
3,KEGG,C00234,1,1
4,PubChem,122347,1,1
5,PubChem,6326742,1,0
6,PubChem,46878370,1,0
7,HepatoNet,HC00212,1,1
8,EHMN,C00234,1,1
9,HMDB,HMDB00972,1,1
10,InChi Key,AUFGTPPARQZWDO-YPMHNXCESA-N,1,1
11,CheBI,15637,2,1
12,CheBI,57454,2,0
13,KEGG,C00234,2,1
14,PubChem,122347,2,1
15,PubChem,6326742,2,0
16,PubChem,46878370,2,0
17,HepatoNet,HC00212,2,1
18,EHMN,C00234,2,1
19,HMDB,HMDB00972,2,1
20,InChi Key,AUFGTPPARQZWDO-YPMHNXCESA-N,2,1
21,CheBI,15637,3,1
22,CheBI,57454,3,0
23,KEGG,C00234,3,1
24,PubChem,122347,3,1
25,PubChem,6326742,3,0
26,PubChem,46878370,3,0
27,HepatoNet,HC00212,3,1
28,EHMN,C00234,3,1
29,HMDB,HMDB00972,3,1
30,InChi Key,AUFGTPPARQZWDO-YPMHNXCESA-N,3,1
31,CheBI,15637,4,1
32,CheBI,57454,4,0
33,KEGG,C00234,4,1
34,PubChem,122347,4,1
35,PubChem,6326742,4,0
36,PubChem,46878370,4,0
37,HepatoNet,HC00212,4,1
38,EHMN,C00234,4,1
39,HMDB,HMDB00972,4,1
40,InChi Key,AUFGTPPARQZWDO-YPMHNXCESA-N,4,1
41,InChi Key,SFFBEUFYOPMKMV-CWMPVMSNSA-N,9,1
42,InChi Key,SFFBEUFYOPMKMV-CWMPVMSNSA-N,10,1
43,InChi Key,SFFBEUFYOPMKMV-CWMPVMSNSA-N,11,1
44,InChi Key,SFFBEUFYOPMKMV-CWMPVMSNSA-N,12,1
45,CheBI,28324,19,1
46,KEGG,C05488,19,1
47,PubChem,440707,19,1
48,EHMN,C05488,19,1
49,HMDB,HMDB00015,19,1
50,LMSD,LMST02030086,19,1
51,InChi Key,WHBHBVVOGNECLV-OBQKJFGGSA-N,19,1
52,CheBI,28324,20,1
53,KEGG,C05488,20,1
54,PubChem,440707,20,1
55,EHMN,C05488,20,1
56,HMDB,HMDB00015,20,1
57,LMSD,LMST02030086,20,1
58,InChi Key,WHBHBVVOGNECLV-OBQKJFGGSA-N,20,1
59,CheBI,28324,21,1
60,KEGG,C05488,21,1
61,PubChem,440707,21,1
62,EHMN,C05488,21,1
63,HMDB,HMDB00015,21,1
64,LMSD,LMST02030086,21,1
65,InChi Key,WHBHBVVOGNECLV-OBQKJFGGSA-N,21,1
66,CheBI,16973,22,1
67,KEGG,C03205,22,1
68,PubChem,6166,22,1
69,EHMN,C03205,22,1
70,HMDB,HMDB00016,22,1
71,LMSD,LMST02030087,22,1
72,InChi Key,ZESRJSPZRDMNHY-YFWFAHHUSA-N,22,1
73,CheBI,16973,23,1
74,KEGG,C03205,23,1
75,PubChem,6166,23,1
76,EHMN,C03205,23,1
77,HMDB,HMDB00016,23,1
78,LMSD,LMST02030087,23,1
79,InChi Key,ZESRJSPZRDMNHY-YFWFAHHUSA-N,23,1
80,CheBI,16973,24,1
81,KEGG,C03205,24,1
82,PubChem,6166,24,1
83,EHMN,C03205,24,1
84,HMDB,HMDB00016,24,1
85,LMSD,LMST02030087,24,1
86,InChi Key,ZESRJSPZRDMNHY-YFWFAHHUSA-N,24,1
87,CheBI,17815,25,1
88,KEGG,C00641,25,1
89,EHMN,C00641,25,1
90,CheBI,17815,26,1
91,KEGG,C00641,26,1
92,EHMN,C00641,26,1
93,CheBI,17815,27,1
94,KEGG,C00641,27,1
95,EHMN,C00641,27,1
96,CheBI,17815,28,1
97,KEGG,C00641,28,1
98,EHMN,C00641,28,1
99,CheBI,17815,29,1
100,KEGG,C00641,29,1
101,EHMN,C00641,29,1
102,PubChem,5312983,30,1
103,HMDB,HMDB06111,30,1
104,LMSD,LMFA03060063,30,1
105,InChi Key,ZNHVWPKMFKADKW-UHFFFAOYSA-N,30,1
106,CheBI,15626,31,1
107,KEGG,C05965,31,1
109,PubChem,5280892,31,1
110,HMDB,HMDB04243,31,1
111,LMSD,LMFA03060013,31,1
112,InChi Key,ZIOZYRSDNLNNNJ-IBGZPJMESA-N,31,1
113,CheBI,16997,32,1
114,CheBI,28972,32,0
115,KEGG,C00583,32,1
116,KEGG,C02912,32,0
117,PubChem,1030,32,1
118,PubChem,259994,32,0
119,HMDB,HMDB01881,32,1
120,InChi Key,DNIAPMSPPWPWGF-GSVOUGTGSA-N,32,1
121,CheBI,29002,33,1
122,KEGG,C02917,33,1
123,PubChem,439846,33,1
124,HMDB,HMDB06213,33,1
125,InChi Key,DNIAPMSPPWPWGF-VKHMYHEASA-N,33,1
126,CheBI,34145,34,1
127,KEGG,C14812,34,1
128,PubChem,9548885,34,1
129,HMDB,HMDB04692,34,1
130,LMSD,LMFA03060070,34,1
131,InChi Key,ZIOZYRSDNLNNNJ-LJQANCHMSA-N,34,1
132,CheBI,6067,37,1
133,CheBI,15367,37,0
134,CheBI,26536,37,0
135,KEGG,D00348,37,1
136,KEGG,C07058,37,0
137,KEGG,C15493,37,0
138,KEGG,C00777,37,0
139,PubChem,5282379,37,1
140,PubChem,5538,37,0
141,PubChem,444795,37,0
142,EHMN,CE2952,37,1
143,HMDB,HMDB06219,37,1
144,LMSD,LMPR01090021,37,1
145,InChi Key,SHGAZHPCJJPHSC-UHFFFAOYSA-N,37,1
146,CheBI,6067,38,1
147,CheBI,15367,38,0
148,CheBI,26536,38,0
149,KEGG,D00348,38,1
150,KEGG,C07058,38,0
151,KEGG,C15493,38,0
152,KEGG,C00777,38,0
153,PubChem,5282379,38,1
154,PubChem,5538,38,0
155,PubChem,444795,38,0
156,EHMN,CE2952,38,1
157,HMDB,HMDB06219,38,1
158,LMSD,LMPR01090021,38,1
159,InChi Key,SHGAZHPCJJPHSC-UHFFFAOYSA-N,38,1
160,CheBI,6067,39,1
161,CheBI,15367,39,0
162,CheBI,26536,39,0
163,KEGG,D00348,39,1
164,KEGG,C07058,39,0
165,KEGG,C15493,39,0
166,KEGG,C00777,39,0
167,PubChem,5282379,39,1
168,PubChem,5538,39,0
169,PubChem,444795,39,0
170,EHMN,CE2952,39,1
171,HMDB,HMDB06219,39,1
172,LMSD,LMPR01090021,39,1
173,InChi Key,SHGAZHPCJJPHSC-UHFFFAOYSA-N,39,1
174,CheBI,28870,40,1
175,KEGG,C11061,40,1
176,PubChem,5281877,40,1
177,HMDB,HMDB03141,40,1
178,InChi Key,MTGFYEHKPMOVNE-LYVDORBWSA-N,40,1
179,CheBI,28870,41,1
180,KEGG,C11061,41,1
181,PubChem,5281877,41,1
182,HMDB,HMDB03141,41,1
183,InChi Key,MTGFYEHKPMOVNE-LYVDORBWSA-N,41,1
184,CheBI,28870,42,1
185,KEGG,C11061,42,1
186,PubChem,5281877,42,1
187,HMDB,HMDB03141,42,1
188,InChi Key,MTGFYEHKPMOVNE-LYVDORBWSA-N,42,1
189,CheBI,15725,43,1
190,CheBI,57484,43,0
191,KEGG,C00986,43,1
192,PubChem,428,43,1
193,PubChem,4030255,43,0
194,EHMN,C00986,43,1
195,HMDB,HMDB00002,43,1
196,InChi Key,XFNJVJPLKCPIBV-UHFFFAOYSA-N,43,1
197,CheBI,16001,44,1
198,KEGG,C00236,44,1
199,PubChem,439191,44,1
200,PubChem,46878409,44,0
201,HepatoNet,HC00214,44,1
202,EHMN,C00236,44,1
203,HMDB,HMDB01270,44,1
204,InChi Key,LJQLQCAXBUHEAZ-UWTATZPHSA-N,44,1
205,CheBI,15628,45,1
206,CheBI,57446,45,0
207,KEGG,C05966,45,1
208,PubChem,5280893,45,1
209,PubChem,21158477,45,0
210,EHMN,C05966,45,1
211,HMDB,HMDB04244,45,1
212,LMSD,LMFA03060014,45,1
213,InChi Key,BFWYTORDSFIVKP-IBGZPJMESA-N,45,1
214,CheBI,15628,46,1
215,CheBI,57446,46,0
216,KEGG,C05966,46,1
217,PubChem,5280893,46,1
218,PubChem,21158477,46,0
219,EHMN,C05966,46,1
220,HMDB,HMDB04244,46,1
221,LMSD,LMFA03060014,46,1
222,InChi Key,BFWYTORDSFIVKP-IBGZPJMESA-N,46,1
223,CheBI,15628,47,1
224,CheBI,57446,47,0
225,KEGG,C05966,47,1
226,PubChem,5280893,47,1
227,PubChem,21158477,47,0
228,EHMN,C05966,47,1
229,HMDB,HMDB04244,47,1
230,LMSD,LMFA03060014,47,1
231,InChi Key,BFWYTORDSFIVKP-IBGZPJMESA-N,47,1
232,CheBI,28750,48,1
233,KEGG,C05138,48,1
234,PubChem,91451,48,1
235,PubChem,440573,48,0
236,EHMN,C05138,48,1
237,HMDB,HMDB00363,48,1
238,LMSD,LMST02030089,48,1
239,InChi Key,JERGUCIJOXJXHF-TVWVXWENSA-N,48,1
240,CheBI,28750,49,1
241,KEGG,C05138,49,1
242,PubChem,91451,49,1
243,PubChem,440573,49,0
244,EHMN,C05138,49,1
245,HMDB,HMDB00363,49,1
246,LMSD,LMST02030089,49,1
