compound_id,location_id
1,4
2,1
3,5
4,6
5,4
6,1
7,5
8,6
9,4
10,1
11,5
12,6
13,4
14,1
15,5
16,6
17,4
18,1
19,4
20,6
21,7
22,4
23,6
24,7
25,1
26,8
27,6
28,2
29,7
30,7
31,4
32,4
33,4
34,4
35,4
36,2
37,4
38,2
39,7
40,4
41,1
42,7
43,4
44,4
45,4
46,2
47,7
48,4
49,8
50,5
51,6
52,7
53,4
54,6
55,7
56,7
57,6
58,6
59,6
60,4
61,6
62,2
63,4
64,1
65,4
66,1
67,4
68,3
69,4
70,6
71,3
72,4
73,6
74,6
75,4
76,1
77,4
78,4
79,4
80,1
81,6
82,4
83,1
84,6
85,4
86,1
87,4
88,4
89,1
90,6
91,4
92,1
93,6
94,4
95,4
96,6
97,4
98,4
99,6
100,3
101,6
102,3
103,6
104,6
105,3
106,6
107,3
108,6
109,6
110,6
111,6
112,4
113,4
114,4
115,1
116,6
117,3
118,6
119,3
120,4
121,4
122,6
123,4
124,6
125,6
126,4
127,4
128,1
129,4
130,6
131,6
132,6
133,4
134,6
135,6
136,3
137,6
138,4
139,6
140,4
141,4
142,4
143,4
144,6
145,4
146,6
147,4
148,1
149,4
150,4
151,4
152,1
153,6
154,4
155,1
156,6
157,4
158,1
159,8
160,2
161,4
162,4
163,1
164,6
165,4
166,1
167,6
168,5
169,4
170,1
171,4
172,1
173,6
174,3
175,4
176,1
177,6
178,3
179,4
180,6
181,3
182,6
183,3
184,6
185,6
186,6
187,4
188,6
189,3
190,4
191,6
192,3
193,4
194,6
195,4
196,6
197,4
198,6
199,4
200,6
201,4
202,1
203,4
204,6
205,4
206,1
207,6
208,3
209,6
210,3
211,6
212,6
213,6
214,4
215,6
216,4
217,6
218,3
219,4
220,6
221,4
222,6
223,4
224,6
225,4
226,4
227,4
228,6
229,4
230,1
231,4
232,6
233,6
234,6
235,4
236,1
237,4
238,4
239,1
240,6
241,4
242,1
243,6
244,4
245,6
246,4
247,6
248,4
249,4
250,6
251,4
252,1
253,4
254,1
255,4
256,6
257,4
258,1
259,6
260,3
261,6
262,6
263,3
264,6
265,3
266,6
267,3
268,4
269,5
270,7
271,3
272,3
273,6
274,3
275,4
276,4
277,6
278,4
279,4
280,6
281,4
282,6
283,4
284,6
285,4
286,1
287,4
288,6
289,4
290,1
291,4
292,6
293,4
294,1
295,4
296,6
297,4
298,1
299,4
300,4
301,1
302,4
303,4
304,7
305,7
306,4
307,4
308,4
309,6
310,4
311,1
312,5
313,6
314,2
315,4
316,1
317,6
318,4
319,4
320,4
321,6
322,6
323,6
324,4
325,1
326,6
327,3
328,6
329,3
330,6
331,4
332,4
333,1
334,4
335,1
336,6
337,7
338,4
339,4
340,4
341,1
342,6
343,4
344,1
345,6
346,7
347,4
348,1
349,7
350,7
351,4
352,1
353,4
354,1
355,4
356,6
357,4
358,6
359,4
360,1
361,4
362,6
363,4
364,4
365,4
366,6
367,4
368,3
369,4
370,1
371,5
372,6
373,7
374,4
375,1
376,7
377,4
378,1
379,5
380,7
381,4
382,4
383,6
384,4
385,1
386,5
387,6
388,4
389,3
390,6
391,4
392,4
393,1
394,6
395,3
396,4
397,1
398,4
399,6
400,4
401,6
402,4
403,4
404,7
405,4
406,1
407,4
408,4
409,4
410,4
411,4
412,4
413,1
414,4
415,1
416,2
417,7
418,4
419,1
420,4
421,3
422,6
423,3
424,4
425,1
426,5
427,6
428,3
429,4
430,1
431,5
432,6
433,4
434,4
435,1
436,7
437,4
438,7
439,4
440,7
441,4
442,2
443,4
444,1
445,5
446,6
447,4
448,7
449,4
450,1
451,5
452,6
453,4
454,1
455,5
456,6
457,4
458,1
459,4
460,6
461,3
462,4
463,6
464,4
465,1
466,4
467,1
468,8
469,6
470,7
471,4
472,1
473,6
474,3
475,4
476,4
477,1
478,6
479,7
480,3
481,4
482,8
483,6
484,2
485,7
486,3
487,4
488,4
489,1
490,6
491,6
492,6
493,4
494,8
495,5
496,4
497,8
498,5
499,4
500,8
501,4
502,1
503,8
504,4
505,1
506,8
507,8
508,8
509,4
510,1
511,5
512,7
513,4
514,4
515,4
516,8
517,5
518,8
519,8
520,8
521,8
522,8
523,6
524,4
525,4
526,1
527,2
528,4
529,1
530,7
531,4
532,4
533,1
534,8
535,4
536,1
537,8
538,4
539,1
540,8
541,4
542,1
543,8
544,4
545,5
546,2
547,4
548,8
549,4
550,1
551,8
552,8
553,8
554,4
555,4
556,6
557,4
558,6
559,7
