rid,EHMN,old_rid,Metabolite name,other
1,C00234,194,10-Formyltetrahydrofolate,
2,C00234,194,10-Formyltetrahydrofolate,
3,C00234,194,10-Formyltetrahydrofolate,
4,C00234,194,10-Formyltetrahydrofolate,
5,[],,10-formyltetrahydrofolate-[Glu](5),
6,[],,10-formyltetrahydrofolate-[Glu](5),
7,[],,10-formyltetrahydrofolate-[Glu](5),
8,[],,10-formyltetrahydrofolate-[Glu](5),
9,[],,10-formyltetrahydrofolate-[Glu](6),
10,[],,10-formyltetrahydrofolate-[Glu](6),
11,[],,10-formyltetrahydrofolate-[Glu](6),
12,[],,10-formyltetrahydrofolate-[Glu](6),
13,[],,10-formyltetrahydrofolate-[Glu](7),
14,[],,10-formyltetrahydrofolate-[Glu](7),
15,[],,10-formyltetrahydrofolate-[Glu](7),
16,[],,10-formyltetrahydrofolate-[Glu](7),
17,[],,fatty acid 11-cis-retinol,
18,[],,fatty acid 11-cis-retinol,
19,C05488,1238,11-deoxycortisol,
20,C05488,1238,11-deoxycortisol,
21,C05488,1238,11-deoxycortisol,
22,C03205,878,11-deoxycorticosterone,
23,C03205,878,11-deoxycorticosterone,
24,C03205,878,11-deoxycorticosterone,
25,C00641,412,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",
26,C00641,412,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",
27,C00641,412,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",
28,C00641,412,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",
29,C00641,412,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",
30,[],,12 hydroxy arachidonic acid,
31,C05965,1399,"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate",
32,C00583,385,"(R)-propane-1,2-diol",
33,C02917,,"(S)-propane-1,2-diol",
34,C14812,,12R-Hydroperoxyeicosatetraenoate,
35,[],,13-cis-oxo-retinoic acid,
36,[],,13-cis-oxo-retinoic acid,
37,CE2952,1929,13-cis-retinoate,
38,CE2952,1929,13-cis-retinoate,
39,CE2952,1929,13-cis-retinoate,
40,C11061,1517,13-cis-retinoyl glucuronide,
41,C11061,1517,13-cis-retinoyl glucuronide,
42,C11061,1517,13-cis-retinoyl glucuronide,
43,C00986,513,trimethylenediaminium,
44,C00236,196,3-Phospho-D-glyceroyl phosphate,
45,C05966,1400,15(S)-HPETE(1-),
46,C05966,1400,15(S)-HPETE(1-),
47,C05966,1400,15(S)-HPETE(1-),
48,C05138,1137,17alpha-hydroxypregnenolone,
49,C05138,1137,17alpha-hydroxypregnenolone,
50,C05138,1137,17alpha-hydroxypregnenolone,
51,C05138,1137,17alpha-hydroxypregnenolone,
52,C05138,1137,17alpha-hydroxypregnenolone,
53,C01176,574,17alpha-hydroxyprogesterone,
54,C01176,574,17alpha-hydroxyprogesterone,
55,C01176,574,17alpha-hydroxyprogesterone,
56,[],,18 hydroxy arachidonic acid,
57,[],,"1-alpha,24R,25-Trihydroxyvitamin D2",
58,C18231,,calcitetrol,
59,[],,"1-alpha,25-Dihydroxyvitamin D2",
60,C01673,687,calcitriol,
61,C01673,687,calcitriol,
62,C01673,687,calcitriol,
63,C00681,429,1-acyl-sn-glycerol 3-phosphate(2-),
64,[],,1 acyl phosphoglycerol,
65,C02918,843,1-methylnicotinamide,
66,C02918,843,1-methylnicotinamide,
67,C06178,1445,1-methylpyrrolinium,
68,C03564,930,1-pyrroline-2-carboxylate,
69,C04281,1018,L-1-Pyrroline-3-hydroxy-5-carboxylate,
70,C04281,1018,L-1-Pyrroline-3-hydroxy-5-carboxylate,
71,C04092,1001,1-piperideine-2-carboxylate,
72,C03912,980,1-Pyrroline-5-carboxylate,
73,C03912,980,1-Pyrroline-5-carboxylate,
74,C05500,1244,20-hydroxycholesterol,
75,C02355,772,"2',3'-cyclic UMP(1-)",
76,C02355,772,"2',3'-cyclic UMP(1-)",
77,C04575,1055,"(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate",
78,C01159,564,"2,3-bisphosphonato-D-glycerate(5-)",
79,[],,"24R,25-Dihyoxyvitamin D2",
80,[],,"24R,25-Dihyoxyvitamin D2",
81,[],,"24R,25-Dihyoxyvitamin D2",
82,CE1337,1715,"(24R)-24,25-dihydroxycalciol",
83,CE1337,1715,"(24R)-24,25-dihydroxycalciol",
84,CE1337,1715,"(24R)-24,25-dihydroxycalciol",
85,C02235,,2-hydroxy-4-nitrophenolate,
86,C02235,,2-hydroxy-4-nitrophenolate,
87,C04823,1099,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,
88,[],,25-Hydroxyvitamin D2,
89,[],,25-Hydroxyvitamin D2,
90,[],,25-Hydroxyvitamin D2,
91,C01561,653,calcidiol,
92,C01561,653,calcidiol,
93,C01561,653,calcidiol,
94,C02218,756,2-aminoacrylic acid,
95,C03557,928,(2-Aminoethyl)phosphonate,
96,C03508,918,L-2-amino-3-oxobutanoic acid,
97,C05604,1281,"2-Carboxy-2,3-dihydro-5,6-dihydroxyindole",
98,C05838,1355,cis-2-coumarate,
99,C05279,1170,"2,6-dodecadienoylcoa",
100,C05279,1170,"2,6-dodecadienoylcoa",
101,[],,"2,7-decadienoylcoa",
102,[],,"2,7-decadienoylcoa",
103,[],,"2,7,10,13,16,19-docosahexenoylcoa",
104,[],,"2,7,10,13,16-docosapentenoylcoa",
105,[],,"2,7,10,13,16-docosapentenoylcoa",
106,[],,"2,6,9-dodecatrienoylcoa",
107,[],,"2,6,9-dodecatrienoylcoa",
108,[],,2-Decaprenyl-6-methoxyphenol,
109,[],,"2-decaprenyl-6-methoxy-1,4-benzoquinone",
110,[],,"2-decaprenyl-6-methoxy-3-methyl-1,4-benzoquinone",
111,[],,"2-decaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone",
112,C00672,426,2-Deoxy-D-ribose 1-phosphate,
113,C00673,427,2-deoxy-D-ribose 5-phosphate(2-),
114,C05984,1406,2-Hydroxybutyrate,
115,C05984,1406,2-Hydroxybutyrate,
116,[],,"2,7,10,13-hexadecatetraenoylcoa",
117,[],,"2,7,10,13-hexadecatetraenoylcoa",
118,[],,"2,7,10-hexadecatrienoylcoa",
119,[],,"2,7,10-hexadecatrienoylcoa",
120,C05852,1363,2-Hydroxyphenylacetate,
121,C01180,577,2-keto-4-methylthiobutyrate,
122,C03344,893,2-methylacetoacetyl-CoA(4-),
123,C03345,894,2-methylcrotonoyl-CoA(4-),
124,C03345,894,2-methylcrotonoyl-CoA(4-),
125,C01033,529,2-methylbutanoyl-CoA(4-),
126,C04225,,"(Z)-but-2-ene-1,2,3-tricarboxylate",
127,[],,2-methylcitrate(3-),
128,[],,2-methylcitrate(3-),
129,C00349,268,2-methyl-3-oxopropanoate,
130,C00349,268,2-methyl-3-oxopropanoate,
131,C03460,912,2-Methylprop-2-enoyl-CoA,
132,C04424,1034,S-(2-Methylpropanoyl)-dihydrolipoamide,
133,C00109,97,2-Oxobutanoate,
134,C00109,97,2-Oxobutanoate,
135,[],,"2,6,9,12-octadecatetraenoylcoa",
136,[],,"2,6,9,12-octadecatetraenoylcoa",
137,[],,"2,6,9,12,15-octadecapentenoylcoa",
138,C00322,250,2-oxoadipate(2-),
139,C00322,250,2-oxoadipate(2-),
140,C00631,403,D-Glycerate 2-phosphate,
141,C00988,514,2-phosphonatoglycolate(3-),
142,C01197,585,trans-caffeate,
143,C05577,1267,"3,4-Dihydroxymandelaldehyde",
144,C05577,1267,"3,4-Dihydroxymandelaldehyde",
145,C05580,1270,"3,4-Dihydroxymandelate",
146,C05580,1270,"3,4-Dihydroxymandelate",
147,C05576,1266,"3,4-Dihydroxyphenylethyleneglycol",
148,C05576,1266,"3,4-Dihydroxyphenylethyleneglycol",
149,C04043,992,"3,4-Dihydroxyphenylacetaldehyde",
