new_rid,old_rid,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
20,0,
21,0,
22,0,
23,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
39,0,
42,0,
43,0,
44,0,
46,0,
48,0,
50,0,
57,0,
58,0,
60,0,
74,0,
75,0,
76,0,
81,0,
91,0,
94,0,
97,0,
98,0,
99,0,
100,0,
101,0,
102,0,
104,0,
107,0,
108,0,
110,0,
111,0,
112,0,
113,0,
114,0,
116,0,
124,0,
125,0,
126,0,
127,0,
128,0,
129,0,
130,0,
131,0,
132,0,
133,0,
134,0,
135,0,
136,0,
137,0,
138,0,
147,0,
161,0,
163,0,
164,0,
165,0,
170,0,
171,0,
178,0,
179,0,
180,0,
181,0,
182,0,
185,0,
188,0,
189,0,
190,0,
191,0,
192,0,
193,0,
194,0,
195,0,
196,0,
197,0,
200,0,
201,0,
206,0,
207,0,
208,0,
212,0,
215,0,
216,0,
217,0,
218,0,
219,0,
220,0,
221,0,
222,0,
225,0,
227,0,
228,0,
229,0,
244,0,
250,0,
251,0,
252,0,
259,0,
260,0,
261,0,
271,0,
272,0,
273,0,
274,0,
279,0,
281,0,
282,0,
285,0,
287,0,
293,0,
321,0,
327,0,
329,0,
330,0,
335,0,
337,0,
338,0,
339,0,
345,0,
346,0,
347,0,
348,0,
349,0,
350,0,
351,0,
353,0,
355,0,
356,0,
357,0,
359,0,
360,0,
374,0,
375,0,
390,0,
391,0,
392,0,
396,0,
397,0,
401,0,
402,0,
403,0,
404,0,
408,0,
413,0,
414,0,
416,0,
417,0,
419,0,
422,0,
423,0,
424,0,
425,0,
426,0,
428,0,
433,0,
434,0,
435,0,
484,0,
485,0,
486,0,
487,0,
488,0,
491,0,
492,0,
493,0,
494,0,
495,0,
496,0,
499,0,
500,0,
501,0,
503,0,
507,0,
513,0,
514,0,
515,0,
516,0,
548,0,
559,0,
560,0,
562,0,
564,0,
565,0,
567,0,
569,0,
570,0,
571,0,
582,0,
583,0,
585,0,
586,0,
588,0,
589,0,
590,0,
591,0,
592,0,
596,0,
601,0,
602,0,
605,0,
608,0,
611,0,
612,0,
615,0,
