reaction_id,reaction_abbreviation,reaction_name,reaction_reversible,reaction_formula,reaction_formula_w/name,Conifdence score
1,10FTHF5GLUtl,"5-glutamyl-10FTHF transport, lysosomal",0,10fthf5glu[c]  => 10fthf5glu[l] ,10-formyltetrahydrofolate-[Glu](5) = > 10-formyltetrahydrofolate-[Glu](5),2
2,10FTHF5GLUtm,"5-glutamyl-10FTHF transport, mitochondrial",0,10fthf5glu[m]  => 10fthf5glu[c] ,10-formyltetrahydrofolate-[Glu](5) = > 10-formyltetrahydrofolate-[Glu](5),2
3,10FTHF6GLUtl,"6-glutamyl-10FTHF transport, lysosomal",0,10fthf6glu[c]  => 10fthf6glu[l] ,10-formyltetrahydrofolate-[Glu](6) = > 10-formyltetrahydrofolate-[Glu](6),2
4,10FTHF6GLUtm,"6-glutamyl-10FTHF transport, mitochondrial",0,10fthf6glu[m]  => 10fthf6glu[c] ,10-formyltetrahydrofolate-[Glu](6) = > 10-formyltetrahydrofolate-[Glu](6),2
5,10FTHF7GLUtl,"7-glutamyl-10FTHF transport, lysosomal",0,10fthf7glu[c]  => 10fthf7glu[l] ,10-formyltetrahydrofolate-[Glu](7) = > 10-formyltetrahydrofolate-[Glu](7),2
6,10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial",0,10fthf7glu[m]  => 10fthf7glu[c] ,10-formyltetrahydrofolate-[Glu](7) = > 10-formyltetrahydrofolate-[Glu](7),2
7,10FTHFtl,10-Formyltetrahydrofolate lysosomal transport via diffusion,1,10fthf[c]  <=> 10fthf[l] ,10-Formyltetrahydrofolate <  = > 10-Formyltetrahydrofolate,2
8,10FTHFtm,10-Formyltetrahydrofolate mitochondrial transport via diffusion,1,10fthf[c]  <=> 10fthf[m] ,10-Formyltetrahydrofolate <  = > 10-Formyltetrahydrofolate,2
9,11DOCRTSLtm,11-deoxycortisol intracellular transport,1,11docrtsl[c]  <=> 11docrtsl[m] ,11-deoxycortisol <  = > 11-deoxycortisol,1
10,11DOCRTSLtr,11-deoxycortisol intracellular transport,1,11docrtsl[c]  <=> 11docrtsl[r] ,11-deoxycortisol <  = > 11-deoxycortisol,1
