rid,abbr,cid,coefficient
1,10fthf5glu[c],5,1
2,10fthf5glu[m],8,1
3,10fthf6glu[c],9,1
4,10fthf6glu[m],12,1
5,10fthf7glu[c],13,1
6,10fthf7glu[m],16,1
7,10fthf[c],1,1
8,10fthf[c],1,1
9,11docrtsl[c],19,1
10,11docrtsl[c],19,1
11,11docrtstrn[c],22,1
12,11docrtstrn[c],22,1
13,13dampp[c],43,1
13,h2o[c],3182,1
13,o2[c],4196,1
14,2425dhvitd2[m],81,1
14,h[m],3177,1
14,nadph[m],4140,1
14,o2[m],4200,1
15,h[m],3177,1
15,nadph[m],4140,1
15,o2[m],4200,1
15,2425dhvitd3[m],84,1
16,h[m],3177,1
16,nadph[m],4140,1
16,o2[m],4200,1
16,1a25dhvitd2[m],59,1
17,h[m],3177,1
17,nadph[m],4140,1
17,o2[m],4200,1
17,1a25dhvitd3[m],61,1
18,h2o[c],3182,1
18,1mncam[c],65,1
18,atp[c],752,1
19,1pipdn2c[x],71,1
19,h[x],3180,1
19,nadh[x],4130,1
20,2425dhvitd2[c],79,1
21,2425dhvitd2[m],81,1
22,2425dhvitd3[c],82,1
23,2425dhvitd3[m],84,1
24,h[m],3177,1
24,nadph[m],4140,1
24,o2[m],4200,1
24,25hvitd2[m],90,1
25,h[m],3177,1
25,nadph[m],4140,1
25,o2[m],4200,1
25,25hvitd3[m],93,1
26,24nph[e],86,1
27,25hvitd2[c],88,1
28,25hvitd2[e],89,1
29,25hvitd2[c],88,1
30,25hvitd2[m],90,1
31,25hvitd3[c],91,1
32,25hvitd3[e],92,1
33,25hvitd3[c],91,1
34,25hvitd3[m],93,1
35,h[m],3177,1
35,nadph[m],4140,1
35,o2[m],4200,1
35,25hvitd2[m],90,1
36,h[m],3177,1
36,nadph[m],4140,1
36,o2[m],4200,1
36,25hvitd3[m],93,1
37,h2o[c],3182,1
37,2amac[c],94,1
38,2amac[c],94,1
38,nadph[c],4138,1
38,paps[c],4326,1
39,L2aadp[c],3811,1
39,akg[m],632,1
40,h2o[c],3182,1
40,2dr1p[c],112,1
41,2hb[c],114,1
41,nad[c],4121,1
42,2hb[e],115,1
42,h[e],3174,1
43,hco3[e],3491,2
43,na1[e],4112,1
44,2mcit[c],127,1
45,2oxoadp[m],139,1
45,coa[m],2331,1
45,nad[m],4123,1
46,akg[m],632,1
46,2oxoadp[c],138,1
47,h[c],3173,1
47,nadh[c],4127,1
47,34dhmald[c],143,1
48,34dhoxpeg[c],147,1
49,34dhpha[c],150,1
