rid,abbr,cid,coefficient
1,10fthf5glu[l],7,1
2,10fthf5glu[c],5,1
3,10fthf6glu[l],11,1
4,10fthf6glu[c],9,1
5,10fthf7glu[l],15,1
6,10fthf7glu[c],13,1
7,10fthf[l],3,1
8,10fthf[m],4,1
9,11docrtsl[m],20,1
10,11docrtsl[r],21,1
11,11docrtstrn[m],23,1
12,11docrtstrn[r],24,1
13,bamppald[c],768,1
13,h2o2[c],3190,1
13,nh4[c],4150,1
14,1a2425thvitd2[m],57,1
14,h2o[m],3186,1
14,nadp[m],4134,1
15,h2o[m],3186,1
15,nadp[m],4134,1
15,1a2425thvitd3[m],58,1
16,1a2425thvitd2[m],57,1
16,h2o[m],3186,1
16,nadp[m],4134,1
17,h2o[m],3186,1
17,nadp[m],4134,1
17,1a2425thvitd3[m],58,1
18,1mncam[e],66,1
18,adp[c],574,1
18,h[c],3173,1
18,pi[c],4389,1
19,Lpipecol[x],3933,1
19,nad[x],4126,1
20,2425dhvitd2[e],80,1
21,2425dhvitd2[c],79,1
22,2425dhvitd3[e],83,1
23,2425dhvitd3[c],82,1
24,2425dhvitd2[m],81,1
24,h2o[m],3186,1
24,nadp[m],4134,1
25,h2o[m],3186,1
25,nadp[m],4134,1
25,2425dhvitd3[m],84,1
26,24nph[c],85,1
27,25hvitd2[e],89,1
28,25hvitd2[c],88,1
29,25hvitd2[m],90,1
30,25hvitd2[c],88,1
31,25hvitd3[e],92,1
32,25hvitd3[c],91,1
33,25hvitd3[m],93,1
34,25hvitd3[c],91,1
35,h2o[m],3186,1
35,nadp[m],4134,1
35,1a25dhvitd2[m],59,1
36,h2o[m],3186,1
36,nadp[m],4134,1
36,1a25dhvitd3[m],61,1
37,nh4[c],4150,1
37,pyr[c],4523,1
38,Lcyst[c],3837,1
38,nadp[c],4131,1
38,pap[c],4324,1
39,L2aadp[m],3812,1
39,akg[c],630,1
40,pi[c],4389,1
40,drib[c],2709,1
41,h[c],3173,1
41,2obut[c],133,1
41,nadh[c],4127,1
42,h[c],3173,1
42,2hb[c],114,1
43,hco3[c],3490,2
43,na1[c],4111,1
44,2mcit[e],128,1
45,co2[m],2323,1
45,glutcoa[m],3061,1
45,nadh[m],4128,1
46,akg[c],630,1
46,2oxoadp[m],139,1
47,nad[c],4121,1
47,34dhoxpeg[c],147,1
48,34dhoxpeg[e],148,1
49,h[c],3173,1
49,ahcys[c],611,1
49,homoval[c],3560,1
50,34dhphe[c],151,1
51,h[c],3173,2
51,nadh[c],4127,1
51,34dhpha[c],150,1
52,h[c],3173,2
52,nadph[c],4138,1
52,34dhpha[c],150,1
53,h[c],3173,2
53,nadh[c],4127,1
53,34dhoxmand[c],145,1
54,h[c],3173,2
54,nadph[c],4138,1
54,34dhoxmand[c],145,1
55,nad[m],4123,1
55,34hpl[m],153,1
56,co2[c],2319,1
56,hgentis[c],3543,1
57,35cgmp[n],160,1
58,3aib[e],163,1
59,akg[m],632,1
59,3aib[m],164,1
60,3aib[c],162,1
61,h2o[m],3186,1
61,nad[m],4123,1
61,3dpdhb[m],184,1
62,h2o[m],3186,1
62,nadp[m],4134,1
62,3dpdhb[m],184,1
63,nadp[c],4131,1
63,sphgn[c],4679,1
64,h[c],3173,1
64,cmusa[c],2284,1
65,3hbcoa_R[m],194,1
66,h[m],3177,1
66,coa[m],2331,1
66,3hmp[m],213,1
67,42A3HP24DB[c],302,1
67,glu_L[c],3046,1
68,co2[c],2319,1
68,dopa[c],2697,1
69,h[c],3173,1
69,3hpp[c],219,1
69,coa[c],2327,1
70,h[c],3173,1
70,nadh[c],4127,1
70,msa[c],4087,1
71,co2[c],2319,1
71,3hxkynam[c],225,1
72,h2o2[c],3190,1
72,nh4[c],4150,1
72,48dhoxquin[c],307,1
73,h[c],3173,2
73,nadh[c],4127,1
73,homoval[c],3560,1
74,3mlda[e],236,1
75,h[m],3177,1
75,3mob[m],240,1
76,h[m],3177,1
76,3mop[m],243,1
77,h[c],3173,2
77,nadh[c],4127,1
77,3mox4hoxm[c],244,1
78,h[c],3173,2
78,nadph[c],4138,1
78,3mox4hoxm[c],244,1
79,h2o2[c],3190,1
79,nh4[c],4150,1
79,3mox4hpac[c],246,1
80,adn[l],569,1
80,pi[l],4392,1
81,3sala[c],279,1
81,asp_L[m],751,1
82,co2[c],2319,1
82,hyptaur[c],3630,1
83,Lcyst[c],3837,2
84,glu_L[c],3046,1
84,3snpyr[c],281,1
85,glu_L[m],3049,1
85,3snpyr[m],282,1
86,h[c],3173,1
86,pyr[c],4523,1
86,so3[c],4663,1
87,h[m],3177,1
87,pyr[m],4525,1
87,so3[m],4666,1
88,h2o2[c],3190,1
88,34dhmald[c],143,1
88,mma[c],4078,1
89,h2o2[c],3190,1
89,nh4[c],4150,1
89,34dhmald[c],143,1
90,h2o2[c],3190,1
90,nh4[c],4150,1
90,34dhpac[c],149,1
91,4abut[m],313,1
92,h[m],3177,1
92,nadh[m],4128,1
92,4hbzcoa[m],323,1
92,accoa[m],483,1
93,h[m],3177,1
93,coa[m],2331,1
93,4hbz[m],322,1
94,4hdebrisoquine[c],324,1
95,h[m],3177,2
95,nadh[m],4128,1
95,e4hglu[m],2749,1
96,h[c],3173,2
96,nadph[c],4138,1
96,4hphac[c],332,1
97,h[m],3177,1
97,4mop[m],342,1
98,4mptnl[e],344,1
99,4mptnl[m],345,1
100,4mptnl[r],346,1
101,4mtolbutamide[c],347,1
102,4nphsf[c],353,1
103,h[c],3173,1
103,pap[c],4324,1
103,4nphsf[c],353,1
104,4nph[c],351,1
105,adp[c],574,1
105,h[c],3173,1
105,pi[c],4389,1
105,4pyrdx[e],360,1
106,adp[c],574,1
106,h[c],3173,1
106,pi[c],4389,1
106,5adtststeroneglc[e],375,1
107,5adtststeroneglc[r],376,1
108,5adtststerones[e],378,1
109,h[c],3173,1
109,pap[c],4324,1
109,5adtststerones[c],377,1
110,5adtststerone[c],369,1
111,5adtststerone[c],369,1
112,5aop[m],383,1
113,5dhf[l],386,1
114,5fthf[c],392,1
114,h2o[e],3183,1
115,co2[c],2319,1
115,srtn[c],4698,1
116,5homeprazole[c],396,1
117,h2o2[c],3190,1
117,h[c],3173,1
117,5hoxindoa[c],400,1
118,h[m],3177,2
118,nadh[m],4128,1
118,5hoxindoa[m],401,1
119,h2o2[c],3190,1
119,nh4[c],4150,1
119,5hoxindact[c],398,1
120,5hoxnfkyn[c],402,1
121,adp[c],574,1
121,h[c],3173,1
121,pi[c],4389,1
121,5htrp[e],406,1
122,co2[c],2319,1
122,5hxkynam[c],408,1
123,h2o2[c],3190,1
123,nh4[c],4150,1
123,46dhoxquin[c],306,1
124,5mthf[c],414,1
125,h2o[e],3183,1
125,5mthf[c],414,1
126,5thf[l],426,1
127,5thf[c],424,1
128,6dhf[l],431,1
129,6dhf[c],429,1
130,6htststerone[e],435,1
131,6htststerone[r],436,1
132,6thf[l],445,1
133,6thf[c],443,1
134,7dhchsterol[c],447,1
135,7dhf[l],451,1
136,7dhf[c],449,1
137,7thf[l],455,1
138,7thf[c],453,1
139,man[c],4018,2
139,mn[c],4083,1
140,man[l],4021,2
140,mn[l],4084,1
141,h[c],3173,1
141,thcrm_hs[c],4815,1
141,udp[c],4920,1
142,h[g],3175,1
142,thcrm_hs[g],4816,1
142,udp[g],4922,1
143,h[g],3175,1
143,udp[g],4922,1
143,gncore1[g],3116,1
144,h[g],3175,1
144,udp[g],4922,1
144,gncore2[g],3117,1
145,aacoa[c],459,1
145,amp[c],666,1
145,ppi[c],4417,1
146,h2o2[c],3190,1
146,nh4[c],4150,1
146,mthgxl[c],4089,1
147,aact[c],462,1
148,h[m],3177,2
148,L2aadp[m],3812,1
148,nadh[m],4128,1
149,2oxoadp[c],138,1
149,glu_L[c],3046,1
150,h[g],3175,1
150,udp[g],4922,1
150,acgalfucgalacglcgalgluside_hs[g],508,1
151,h[g],3175,1
151,udp[g],4922,1
151,galfucgalacglcgalgluside_hs[g],2965,1
152,h[g],3175,1
152,udp[g],4922,1
152,galfuc12gal14acglcgalgluside_hs[g],2961,1
153,h[g],3175,1
153,udp[g],4922,1
153,acgalfuc12gal14acglcgalgluside_hs[g],500,1
154,h[g],3175,1
154,udp[g],4922,1
154,acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g],503,1
155,h[g],3175,1
155,udp[g],4922,1
155,acgalfucgalacglcgal14acglcgalgluside_hs[g],507,1
156,h[g],3175,1
156,udp[g],4922,1
156,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g],506,1
157,h[g],3175,1
157,udp[g],4922,1
