rid,left,right
1,[],[]
2,[],[]
3,[],[]
4,[],[]
5,[],[]
6,[],[]
7,C00234,C00234
8,C00234,C00234
9,C05488,C05488
10,C05488,C05488
11,C03205,C03205
12,C03205,C03205
13,C00986  C00001  C00007,C05665  C00027  C01342
14,[]  C00080  C00005  C00007,[]  C00001  C00006
15,C00080  C00005  C00007  CE1337,C00001  C00006  C18231
16,C00080  C00005  C00007  [],[]  C00001  C00006
17,C00080  C00005  C00007  C01673,C00001  C00006  C18231
18,C00001  C02918  C00002,C02918  C00008  C00282  C00009
19,C04092  C00080  C00004,C00408  C00003
20,[],[]
21,[],[]
22,CE1337,CE1337
23,CE1337,CE1337
24,C00080  C00005  C00007  [],[]  C00001  C00006
25,C00080  C00005  C00007  C01561,C00001  C00006  CE1337
26,C02235,C02235
27,[],[]
28,[],[]
29,[],[]
30,[],[]
31,C01561,C01561
32,C01561,C01561
33,C01561,C01561
34,C01561,C01561
35,C00080  C00005  C00007  [],C00001  C00006  []
36,C00080  C00005  C00007  C01561,C00001  C00006  C01673
37,C00001  C02218,C01342  C00022
38,C02218  C00005  C00053,C00506  C00006  C00054
39,C00956  C00026,C00956  C00026
40,C00001  C00672,C00009  C01801
41,C05984  C00003,C00282  C00109  C00004
42,C05984  C00282,C00282  C05984
43,2  C00288  C01330,2  C00288  C01330
44,[],[]
45,C00322  C00010  C00003,C00011  C00527  C00004
46,C00026  C00322,C00026  C00322
47,C00282  C00004  C05577,C00003  C05576
48,C05576,C05576
49,C01161  C00019,C00282  C00021  C05582
50,C00355,C00355
51,C00001  C00003  C04043,2  C00282  C00004  C01161
52,C00001  C00006  C04043,2  C00282  C00005  C01161
53,C00001  C00003  C05577,2  C00282  C00004  C05580
54,C00001  C00006  C05577,2  C00282  C00005  C05580
55,C00080  C00004  C01179,C00003  C03672
56,C00007  C01179,C00011  C00544
57,C00942,C00942
58,C03284,C03284
59,C00349  C00025,C00026  C03284
60,C03284,C03284
61,C00080  C00007  C00004  [],C00001  C00003  []
62,C00080  C00005  C00007  [],C00001  C00006  []
63,C00282  C00005  C02934,C00006  C00836
64,C00007  C00632,C00282  C04409
65,C00001  C00877,C03561
66,C00001  C06000,C00080  C00010  C01188
67,C00026  C03227,C05645  C00025
68,C00282  C00355,C00011  C03758
69,C00001  C05668,C00282  C01013  C00010
70,C00003  C01013,C00282  C00004  C00222
71,C00282  C03227,C00011  C05636
72,C00007  C05636,C00027  C01342  C05637
73,C00001  C00003  C05581,2  C00282  C00004  C05582
74,C05828,C05828
75,C00282  C00141,C00080  C00141
76,C00282  C00671,C00080  C00671
77,C00001  C00003  C05583,2  C00282  C00004  C05584
78,C00001  C00006  C05583,2  C00282  C00005  C05584
79,C00001  C00007  C05587,C00027  C01342  C05581
80,C01367  C00001,C00212  C00009
81,C00606  C00049,C00606  C00049
82,2  C00282  C00606,C00011  C00519
83,C00007  2  C00282  2  C00606,2  C00506
84,C00282  C00026  C00606,C00025  C05527
85,C00080  C00026  C00606,C00025  C05527
86,C00001  C05527,C00282  C00022  C00094
87,C00001  C05527,C00080  C00022  C00094
88,C00001  C00007  C00788,C00027  C05577  C00218
89,C00001  C00007  C00547,C00027  C01342  C05577
90,C00001  C00007  C03758,C00027  C01342  C04043
91,C00334,C00334
92,C00001  C00010  C00003  C00223,C00080  C00004  C02949  C00024
93,C00001  C02949,C00080  C00010  C00156
94,[],[]
95,C00001  C00003  C05938,2  C00080  C00004  C05947
96,C00001  C00006  C03765,2  C00282  C00005  C00642
97,C00282  C00233,C00080  C00233
98,C02373,C02373
99,C02373,C02373
