Metabolite abbreviation,Metabolite name,Charged formula,Charge,CheBI,Kegg ID,PubChem ID,InchiString,HepatoNet ID,EHMN ID,HMDB ID
dtt[c],"1,4-dithiothreitol",C4H10O2S2,0,42106;18320,C00265,[],"InChI=1S/C4H10O2S2/c5-3(1-7)4(6)2-8/h3-8H,1-2H2",,,HMDB13593
3hexdcrn[c],3-hydroxyhexadecanoylcarnitine,C23H45NO5,0,[],[],[],[],,,HMDB13336
3hexdcrn[e],3-hydroxyhexadecanoylcarnitine,C23H45NO5,0,[],[],[],[],,,HMDB13336
decdicrn[c],decadienoyl carnitine,C17H29NO4,0,[],[],[],[],,,HMDB13325
decdicrn[e],decadienoyl carnitine,C17H29NO4,0,[],[],[],[],,,HMDB13325
c81crn[c],octenoyl carnitine,C15H27NO4,0,[],[],[],[],,,HMDB13324
c81crn[e],octenoyl carnitine,C15H27NO4,0,[],[],[],[],,,HMDB13324
c101crn[c],decenoyl carnitine,C17H31NO4,0,[],[],[],[],,,HMDB13205
c101crn[e],decenoyl carnitine,C17H31NO4,0,[],[],[],[],,,HMDB13205
c5dc[c],glutaryl carnitine,C12H21NO6,0,[],[],[],[],,,HMDB13130
c5dc[e],glutaryl carnitine,C12H21NO6,0,[],[],[],[],,,HMDB13130
dcsptn1[c],"docosa-4,7,10,13,16-pentaenoic acid",C22H33O2,-1,65136,[],[],"InChI=1/C22H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h6-7,9-10,12-13,15-16,18-19H,2-5,8,11,14,17,20-... <Preview truncated at 128 characters>",,,HMDB13123
dcsptn1[e],"docosa-4,7,10,13,16-pentaenoic acid",C22H33O2,-1,65136,[],[],"InChI=1/C22H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h6-7,9-10,12-13,15-16,18-19H,2-5,8,11,14,17,20-... <Preview truncated at 128 characters>",,,HMDB13123
undcoa[m],undecanoylcoa,C32H52N7O17P3S,-4,[],[],[],[],,,HMDB13114
