reaction2enzyme_id,reaction_id,enzyme_id
1,13,175
2,40,474
3,41,28
4,45,258
5,47,1
6,49,222
7,51,135
8,52,135
9,53,135
10,54,135
11,56,69
12,59,370
13,63,3
14,64,76
15,65,656
16,66,471
17,67,369
18,68,620
19,69,471
20,70,47
21,72,173
22,73,135
23,77,135
24,78,135
25,79,173
26,80,477
27,82,615
28,84,352
29,85,352
30,88,173
31,89,173
32,90,175
33,95,177
34,96,135
35,103,446
36,109,449
37,115,620
38,117,137
39,118,177
40,119,173
41,120,75
42,122,620
43,123,173
44,139,524
45,140,524
46,141,309
47,142,309
48,145,723
49,146,175
50,149,360
51,159,370
52,160,5
53,162,118
54,166,267
55,167,267
56,168,267
57,169,267
58,172,242
59,173,242
60,174,242
61,175,242
62,176,242
63,177,242
64,184,745
65,186,722
66,187,724
67,202,689
68,203,251
69,204,402
70,205,713
71,209,572
72,210,235
73,211,464
74,214,272
75,223,350
76,224,350
77,226,480
78,230,639
79,231,161
80,232,163
81,233,160
82,234,161
83,235,465
84,236,157
85,237,249
86,238,563
87,239,652
88,240,652
89,241,157
90,242,157
91,243,477
92,245,720
93,246,723
94,247,720
95,248,217
96,249,217
97,255,606
98,256,587
99,257,587
100,258,628
101,263,417
102,266,417
103,267,631
104,268,678
105,270,387
106,275,597
107,276,597
108,277,593
109,278,593
110,280,331
111,283,245
112,288,391
113,289,391
114,290,672
115,291,672
116,292,741
117,294,293
118,295,293
119,296,293
120,297,293
121,298,293
122,299,293
123,300,293
124,301,293
125,302,293
126,303,293
127,304,293
128,305,293
129,306,293
130,307,293
131,308,293
132,309,293
133,310,293
134,311,293
135,312,566
136,319,579
137,320,255
138,322,128
139,323,347
140,324,363
141,325,363
142,328,541
143,331,536
144,332,536
145,333,227
146,335,618
147,336,258
148,340,145
149,341,46
150,342,46
151,343,166
152,344,166
153,352,681
154,354,248
155,358,356
156,361,1
157,362,1
158,363,1
159,364,50
160,365,134
161,366,1
162,367,19
163,369,177
164,371,124
165,372,124
166,373,129
167,376,473
168,377,70
169,378,70
170,379,71
171,380,72
172,381,72
173,382,23
174,383,23
175,384,691
176,385,691
177,386,691
178,387,691
179,388,404
180,393,589
181,394,544
182,395,545
183,398,513
184,399,513
185,406,595
186,407,370
187,415,173
188,418,23
189,420,245
190,427,617
191,429,578
192,430,578
193,431,671
194,436,511
195,482,565
196,489,559
197,490,743
198,497,615
199,498,229
200,502,244
201,504,352
202,505,352
203,508,610
204,509,603
205,510,603
206,511,610
207,517,525
208,518,318
209,519,314
210,520,314
211,521,314
212,522,314
213,524,321
214,542,259
215,543,259
216,544,259
217,545,259
218,546,738
219,547,738
220,550,127
221,551,177
222,552,78
223,553,107
224,554,521
225,555,34
226,556,287
227,557,287
228,558,136
229,561,221
230,568,147
231,574,494
232,575,494
233,576,560
234,577,560
235,578,560
236,579,560
237,587,571
238,593,151
239,594,245
240,595,245
241,597,245
242,598,245
243,600,245
244,603,245
245,604,245
246,606,245
247,609,245
248,613,245
249,616,647
250,617,647
251,624,611
252,628,62
253,630,62
254,631,62
255,634,343
256,637,739
257,639,18
258,640,18
259,643,438
260,645,435
261,646,435
262,649,380
263,657,257
264,658,257
265,659,426
266,660,426
267,665,60
268,674,449
269,680,518
270,681,518
271,682,642
272,683,657
273,684,638
274,689,413
275,690,413
276,697,245
277,704,436
278,705,436
279,718,454
280,723,275
281,724,291
282,725,292
283,727,275
284,731,721
285,733,426
286,734,155
287,758,643
288,759,260
289,760,260
290,761,260
291,762,260
292,763,260
293,764,260
294,765,260
295,766,580
296,788,207
297,791,673
298,792,68
299,795,359
300,796,359
301,798,673
302,801,650
303,803,588
304,806,588
305,813,415
306,814,415
307,815,415
308,816,415
309,817,415
310,818,415
311,819,415
312,820,415
313,821,415
314,822,415
315,824,415
316,826,415
317,828,415
318,830,415
319,831,415
320,832,415
321,833,415
322,834,415
323,835,415
324,836,415
325,837,415
326,838,415
327,839,415
328,840,415
329,842,361
330,843,587
331,844,587
332,845,410
333,848,373
334,849,373
335,850,373
336,851,172
337,855,172
338,856,456
339,857,196
340,858,170
341,860,705
342,861,409
343,862,409
344,863,409
345,864,582
346,866,245
347,870,702
348,872,583
349,873,583
350,875,635
351,884,102
352,885,102
353,886,102
354,887,102
355,888,102
356,889,105
357,890,102
358,891,105
359,892,105
360,893,102
361,894,102
362,895,102
363,896,102
364,897,105
365,902,419
366,903,376
367,907,624
368,909,252
369,910,252
370,915,146
371,916,146
372,919,210
373,922,449
374,923,449
375,924,181
376,927,153
377,928,575
378,929,574
379,930,574
380,931,199
381,943,245
382,985,340
383,986,340
384,987,191
385,989,245
386,997,216
387,998,216
388,1066,278
389,1067,278
390,1068,601
391,1069,601
392,1072,503
393,1073,503
394,1076,374
395,1077,374
396,1088,487
397,1089,487
398,1090,320
399,1091,320
400,1092,280
401,1093,280
402,1094,280
403,1095,280
404,1096,280
405,1097,280
406,1098,280
407,1099,280
408,1100,99
409,1101,100
410,1102,222
411,1105,446
412,1109,172
413,1112,714
414,1113,711
415,1115,623
416,1117,172
417,1118,383
418,1120,637
419,1127,144
420,1128,144
421,1129,388
422,1130,388
423,1134,598
424,1135,598
425,1141,704
426,1142,704
427,1144,647
428,1145,647
429,1146,647
430,1147,647
431,1149,352
432,1150,357
433,1151,352
434,1152,245
435,1156,245
436,1160,538
437,1161,538
438,1162,538
439,1163,538
440,1164,538
441,1171,646
442,1172,425
443,1186,451
444,1188,190
445,1189,411
446,1606,433
447,1607,316
448,1608,467
449,1609,467
450,1610,467
451,1611,467
452,1612,467
453,1613,467
454,1614,467
455,1615,467
456,1616,467
457,1617,467
458,1618,727
459,1619,727
460,1620,727
461,1622,727
462,1623,727
463,1624,727
464,1625,727
465,1626,727
466,1627,727
467,1628,727
468,1629,727
469,1630,727
470,1631,727
471,1632,727
472,1633,727
473,1634,727
474,1635,727
475,1636,727
476,1637,727
477,1638,727
478,1639,727
479,1640,727
480,1641,727
481,1642,727
482,1643,727
483,1644,727
484,1645,727
485,1646,727
486,1647,727
487,1648,727
488,1649,727
489,1650,725
490,1651,725
491,1652,607
492,1657,264
493,1658,264
494,1659,264
495,1660,264
496,1664,115
497,1667,164
498,1668,164
499,1669,164
500,1670,164
501,1671,658
502,1672,658
503,1673,658
504,1674,658
505,1675,164
506,1676,164
507,1677,242
508,1678,658
509,1679,658
510,1680,658
511,1681,658
512,1682,658
513,1683,658
514,1684,658
515,1685,658
516,1686,658
517,1687,658
518,1688,658
519,1689,658
520,1690,658
521,1691,164
522,1692,658
523,1693,658
524,1694,658
525,1695,658
526,1696,658
527,1697,658
528,1698,658
529,1699,658
530,1700,658
531,1701,164
532,1702,658
533,1703,658
534,1704,658
535,1705,658
536,1706,658
537,1707,658
538,1708,658
539,1709,658
540,1710,658
541,1711,164
542,1712,264
543,1713,264
544,1714,264
545,1715,264
546,1716,264
547,1717,264
548,1727,634
549,1728,634
550,1729,634
551,1730,634
552,1731,475
553,1732,485
554,1733,680
555,1735,119
556,1739,401
557,1740,573
558,1741,428
559,1748,733
560,1749,733
561,1750,733
562,1751,733
563,1752,733
564,1753,733
565,1754,733
566,1755,733
567,1756,733
568,1757,733
569,1758,733
570,1759,733
571,1760,733
572,1761,733
573,1762,733
574,1763,733
575,1764,733
576,1765,733
577,1768,348
578,1772,669
579,1773,736
580,1774,184
581,1776,740
582,1787,535
583,1788,535
584,1789,535
585,1790,535
586,1808,649
587,1809,613
588,1810,649
589,1815,317
590,1816,317
591,1817,317
592,1818,317
593,1819,317
594,1820,317
595,1821,317
596,1822,315
597,1823,315
598,1824,315
599,1825,315
600,1826,315
601,1827,295
602,1828,295
603,1829,295
604,1830,295
605,1831,295
606,1832,295
607,1833,295
608,1834,295
609,1835,295
610,1836,295
611,1837,295
612,1838,281
613,1839,281
614,1840,281
615,1841,281
616,1842,282
617,1843,282
618,1844,311
619,1845,311
620,1846,311
621,1847,311
622,1848,311
623,1849,311
624,1850,311
625,1851,311
626,1852,311
627,1853,311
628,1854,311
629,1855,311
630,1856,311
631,1857,311
632,1858,311
633,1859,311
634,1860,311
635,1861,311
636,1862,311
637,1863,311
638,1864,311
639,1871,431
640,1874,55
641,1875,61
642,1878,131
643,1879,591
644,1880,44
645,1881,45
646,1882,44
647,1883,495
648,1886,213
649,1888,447
650,1889,447
651,1892,523
652,1893,523
653,1894,523
654,1895,523
655,1896,523
656,1897,523
657,1898,523
658,1899,523
659,1900,523
660,1901,519
661,1902,523
662,1903,523
663,1904,523
664,1905,523
665,1906,523
666,1907,523
667,1908,523
668,1909,523
669,1910,523
670,1911,532
671,1922,323
672,1923,323
673,1924,323
674,1925,323
675,1926,403
676,1927,298
677,1928,299
678,1929,299
679,1930,299
680,1931,299
681,1932,312
682,1933,23
683,1936,423
684,1939,284
685,1941,283
686,1943,437
687,1945,528
688,1950,116
689,1951,226
690,1952,567
691,1953,567
692,1954,567
693,1955,531
694,1956,531
695,1957,322
696,1960,120
697,1961,124
698,1962,225
699,1963,203
700,1964,225
701,1965,225
702,1966,203
703,1967,225
704,1973,294
705,1980,355
706,1981,30
707,2000,269
708,2004,268
709,2005,268
710,2006,224
711,2007,224
712,2008,224
713,2009,224
714,2012,135
715,2013,177
716,2015,522
717,2016,523
718,2017,300
719,2018,529
720,2019,529
721,2020,529
722,2021,529
723,2022,529
724,2023,529
725,2024,529
726,2025,686
727,2026,685
728,2027,308
729,2028,308
730,2029,308
731,2030,308
732,2031,307
733,2032,307
734,2033,307
735,2034,307
736,2035,285
737,2037,534
738,2038,534
739,2039,534
740,2040,534
741,2041,534
742,2043,439
743,2044,439
744,2045,286
745,2046,286
746,2047,305
747,2048,306
748,2049,306
749,2050,306
750,2051,306
751,2060,530
752,2061,276
753,2065,456
754,2072,273
755,2073,273
756,2074,20
757,2075,412
758,2077,615
759,2078,168
760,2079,169
761,2080,228
762,2081,564
763,2082,326
764,2086,167
765,2089,138
766,2090,58
767,2093,232
768,2094,247
769,2098,395
770,2099,51
771,2107,394
772,2109,472
773,2110,472
774,2118,655
775,2119,200
776,2121,742
777,2123,42
778,2124,42
779,2125,214
780,2130,240
781,2131,240
782,2132,502
783,2142,341
784,2143,341
785,2152,204
786,2153,204
787,2154,65
788,2155,65
789,2156,65
790,2160,268
791,2161,585
792,2162,585
793,2164,679
794,2165,586
795,2166,332
796,2169,43
797,2170,17
798,2173,644
799,2174,644
800,2211,37
801,2212,37
802,2213,37
803,2214,303
804,2215,303
805,2227,371
806,2228,407
807,2229,371
808,2231,245
809,2235,74
810,2236,35
811,2237,668
812,2238,620
813,2240,175
814,2245,609
815,2246,614
816,2247,670
817,2248,53
818,2249,641
819,2250,641
820,2253,640
821,2254,640
822,2256,106
823,2259,245
824,2263,629
825,2264,629
826,2265,28
827,2266,51
828,2269,512
829,2270,512
830,2271,512
831,2272,512
832,2273,262
833,2274,262
834,2275,262
835,2276,262
836,2277,9
837,2279,48
838,2280,48
839,2283,48
840,2284,48
841,2285,48
842,2286,27
843,2287,27
844,2306,332
845,2310,40
846,2311,41
847,2312,41
848,2313,41
849,2314,64
850,2315,64
851,2316,64
852,2317,64
853,2318,537
854,2319,537
855,2320,537
856,2321,537
857,2326,362
858,2327,362
