Reaction abbreviation,Reaction name,Reaction formula,Pathway,Lower bound (mmol/gdw/hr),Upper bound (mmol/gdw/hr),Gene-reaction-association,Conifdence score,Eco IDA,sbo Term,EC number,Notes,Reference,,
'10FTHF5GLUtl',"'5-glutamyl-10FTHF transport, lysosomal'",'10fthf5glu[c]  => 10fthf5glu[l] ',"'Transport, lysosomal'",0,1000,'','2','3A0000000',185,'','carrier-mediated transport - but which and how is unknown IT','PMID:11375437',,
'10FTHF5GLUtm',"'5-glutamyl-10FTHF transport, mitochondrial'",'10fthf5glu[m]  => 10fthf5glu[c] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'','mechanism is unknown IT','PMID:11375437',,
'10FTHF6GLUtl',"'6-glutamyl-10FTHF transport, lysosomal'",'10fthf6glu[c]  => 10fthf6glu[l] ',"'Transport, lysosomal'",0,1000,'','2','3A0000000',185,'','carrier-mediated transport - but which and how is unknown IT','PMID:11375437',,
'10FTHF6GLUtm',"'6-glutamyl-10FTHF transport, mitochondrial'",'10fthf6glu[m]  => 10fthf6glu[c] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'','mechanism is unknown IT','PMID:11375437',,
'10FTHF7GLUtl',"'7-glutamyl-10FTHF transport, lysosomal'",'10fthf7glu[c]  => 10fthf7glu[l] ',"'Transport, lysosomal'",0,1000,'','2','3A0000000',185,'','carrier-mediated transport - but which and how is unknown IT','PMID:11375437',,
'10FTHF7GLUtm',"'7-glutamyl-10FTHF transport, mitochondrial'",'10fthf7glu[m]  => 10fthf7glu[c] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'','mechanism is unknown IT','PMID:11375437',,
'10FTHFtl','10-Formyltetrahydrofolate lysosomal transport via diffusion','10fthf[c]  <=> 10fthf[l] ',"'Transport, lysosomal'",-1000,1000,'','2','3A0000000',185,'',"'NCD, IT'",'PMID:11375437',,
'10FTHFtm','10-Formyltetrahydrofolate mitochondrial transport via diffusion','10fthf[c]  <=> 10fthf[m] ',"'Transport, mitochondrial'",-1000,1000,'','2','3A0000000',185,'','NCD','PMID:11375437',,
'11DOCRTSLtm','11-deoxycortisol intracellular transport','11docrtsl[c]  <=> 11docrtsl[m] ',"'Transport, mitochondrial'",-1000,1000,'','1','3A0000000',185,'','unknown mechanism NJ','',,
'11DOCRTSLtr','11-deoxycortisol intracellular transport','11docrtsl[c]  <=> 11docrtsl[r] ',"'Transport, endoplasmic reticular'",-1000,1000,'','1','3A0000000',185,'','unknown mechanism NJ','',,
'11DOCRTSTRNtm','11-deoxycorticosterone intracellular transport','11docrtstrn[c]  <=> 11docrtstrn[m] ',"'Transport, mitochondrial'",-1000,1000,'','1','3A0000000',185,'','unknown mechanism NJ','',,
'11DOCRTSTRNtr','11-deoxycorticosterone intracellular transport','11docrtstrn[c]  <=> 11docrtstrn[r] ',"'Transport, endoplasmic reticular'",-1000,1000,'','1','3A0000000',185,'','unknown mechanism NJ','',,
'13DAMPPOX',"'1,3-Diaminopropane:oxygen oxidoreductase (deaminating)'",'13dampp[c] + h2o[c] + o2[c]  => bamppald[c] + h2o2[c] + nh4[c] ','beta-Alanine metabolism',0,1000,'(8639.1) or (26.1) or (314.2) or (314.1)','1','3A0000212',176,'1.4.3.6','SAB',"'PMID:15035803,PMID:8920635,PMID:9653080'",,
'1a_24_25VITD2Hm',"'1-alpha-Vitamin D-24,25-hydroxylase (D2)'",'2425dhvitd2[m] + h[m] + nadph[m] + o2[m]  => 1a2425thvitd2[m] + h2o[m] + nadp[m] ','Vitamin D metabolism',0,1000,'','2','3A0000134',176,'','','PMID:6974773',,
'1a_24_25VITD3Hm',"'1-alpha-Vitamin D-24,25-hydroxylase (D3)'",'h[m] + nadph[m] + o2[m] + 2425dhvitd3[m]  => h2o[m] + nadp[m] + 1a2425thvitd3[m] ','Vitamin D metabolism',0,1000,'','2','3A0000134',176,'','','PMID:15574355',,
'1a_25VITD2Hm',"'1-alpha,24R,25-Vitamin D-hydroxylase (D2)'",'h[m] + nadph[m] + o2[m] + 1a25dhvitd2[m]  => 1a2425thvitd2[m] + h2o[m] + nadp[m] ','Vitamin D metabolism',0,1000,'','4','3A0000134',176,'','','PMID:6974773',,
'1a_25VITD3Hm',"'1-alpha,24R,25-Vitamin D-hydroxylase (D3)'",'h[m] + nadph[m] + o2[m] + 1a25dhvitd3[m]  => h2o[m] + nadp[m] + 1a2425thvitd3[m] ','Vitamin D metabolism',0,1000,'','4','3A0000134',176,'','','PMID:15574355',,
'1MNCAMti','N1-Methylnicotinamide transport','h2o[c] + 1mncam[c] + atp[c]  => 1mncam[e] + adp[c] + h[c] + pi[c] ',"'Transport, extracellular'",0,1000,'','2','3A0000000',185,'',"'IT based on information in Bender, 2003, 2nd Ed., Nutritional Biochemistry of the Vitamins, p. 206'",'',,
'1PPDCRp',"'delta1-piperideine-2-carboxylate reductase, perixosomal'",'1pipdn2c[x] + h[x] + nadh[x]  => Lpipecol[x] + nad[x] ','Lysine metabolism',0,1000,'','2','3A0000000',176,'','MM',"'PMID:10485319,PMID:10772957'",,
'24_25DHVITD2t',"'24,25-Dihydroxyvitamin D2 transport from cytoplasm'",'2425dhvitd2[c]  => 2425dhvitd2[e] ',"'Transport, extracellular'",0,1000,'','2','3A0000000',185,'','','',,
'24_25DHVITD2tm',"'24,25-Dihydroxyvitamin D2 transport from mitochondria'",'2425dhvitd2[m]  => 2425dhvitd2[c] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'','','',,
'24_25DHVITD3t',"'24,25-Dihydroxyvitamin D3 transport from cytoplasm'",'2425dhvitd3[c]  => 2425dhvitd3[e] ',"'Transport, extracellular'",0,1000,'','2','3A0000000',185,'','','',,
'24_25DHVITD3tm',"'24,25-Dihydroxyvitamin D3 transport from mitochondria'",'2425dhvitd3[m]  => 2425dhvitd3[c] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'','','',,
'24_25VITD2Hm','24R-Vitamin D-25-hydroxylase (D2)','h[m] + nadph[m] + o2[m] + 25hvitd2[m]  => 2425dhvitd2[m] + h2o[m] + nadp[m] ','Vitamin D metabolism',0,1000,'(1591.1)','4','3A0000000',176,'',"'based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT'","'PMID:15358094,PMID:8266831'",,
'24_25VITD3Hm','24R-Vitamin D-25-hydroxylase (D3)','h[m] + nadph[m] + o2[m] + 25hvitd3[m]  => h2o[m] + nadp[m] + 2425dhvitd3[m] ','Vitamin D metabolism',0,1000,'(1591.1)','4','3A0000269',176,'',"'based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT; RE2240M'","'PMID:15358094,PMID:8266831'",,
'24NPHte','xenobiotic transport','24nph[e]  <=> 24nph[c] ',"'Transport, extracellular'",-1000,1000,'','2','3A0000000',185,'',"'unknown mechanism, related cyp P450 metabolism reactions NJ. Steriods transported by free diffusion'",'',,
'25HVITD2t','25-hydroxyvitamin D2 transport from cytoplasm','25hvitd2[c]  => 25hvitd2[e] ',"'Transport, extracellular'",0,1000,'','2','3A0000000',185,'',"'is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT'",'',,
'25HVITD2tin','25-hydroxyvitamin D2 transport in cytoplasm','25hvitd2[e]  => 25hvitd2[c] ',"'Transport, extracellular'",0,1000,'','2','3A0000000',185,'',"'is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT. Biochemicql'",'PMID:12045394',,
'25HVITD2tin_m','25-hydroxyvitamin D2 transport in mitochondria','25hvitd2[c]  => 25hvitd2[m] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'','','',,
'25HVITD2tm','25-hydroxyvitamin D2 transport from mitochondria','25hvitd2[m]  => 25hvitd2[c] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'',"'is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT'",'',,
'25HVITD3t','25-hydroxyvitamin D3 transport from cytoplasm','25hvitd3[c]  => 25hvitd3[e] ',"'Transport, extracellular'",0,1000,'','2','3A0000000',185,'',"'is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT. Biochemical'",'PMID:12045394',,
'25HVITD3tin','25-hydroxyvitamin D3 transport in cytoplasm','25hvitd3[e]  => 25hvitd3[c] ',"'Transport, extracellular'",0,1000,'','2','3A0000000',185,'',"'is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT'",'',,
'25HVITD3tin_m','25-hydroxyvitamin D3 transport in mitochondria','25hvitd3[c]  => 25hvitd3[m] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'','','',,
'25HVITD3tm','25-hydroxyvitamin D3 transport from mitochondria','25hvitd3[m]  => 25hvitd3[c] ',"'Transport, mitochondrial'",0,1000,'','2','3A0000000',185,'',"'is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT'",'',,
'25VITD2Hm','1-alpha-Vitamin D-25-hydroxylase (D2)','h[m] + nadph[m] + o2[m] + 25hvitd2[m]  => h2o[m] + nadp[m] + 1a25dhvitd2[m] ','Vitamin D metabolism',0,1000,'(1594.1)','4','3A0000269',176,'',"'based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT'","'PMID:14671156,PMID:9333115'",,
'25VITD3Hm','1-alpha-Vitamin D-25-hydroxylase (D3)','h[m] + nadph[m] + o2[m] + 25hvitd3[m]  => h2o[m] + nadp[m] + 1a25dhvitd3[m] ','Vitamin D metabolism',0,1000,'(1594.1)','4','3A0000269',176,'',"'based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT'","'PMID:14671156,PMID:9333115'",,
'2AMACHYD','2-Aminoacrylate hydrolysis','h2o[c] + 2amac[c]  => nh4[c] + pyr[c] ',"'Glycine, serine, alanine and threonine metabolism'",0,1000,'','4','3A0000000',176,'','SAB  see PMID 500639:  this reaction is spontaneous','PMID:500639',,
'2AMACSULT','2-Aminoacrylate sulfotransferase','2amac[c] + nadph[c] + paps[c]  => Lcyst[c] + nadp[c] + pap[c] ','Methionine and cysteine metabolism',0,1000,'','2','3A0000000',176,'','-this is a lumped rxn w/ an inferred reduction rxn that occurs in conjunction w/ sulfotransferase step; this reduction step has to occur in order for the transformation (2amac--&gt;Lcyst) to be valid -used NADPH as electron donor since it is a common cofactor involved in biosynthetic steps utilizing oxygen (see Neema for further explanations)  MM',"'PMID:3346220,PMID:6351723'",,
'2AMADPTm','L-2-aminoadipate shuttle (cytosol/mitochondria)','L2aadp[c] + akg[m]  <=> L2aadp[m] + akg[c] ','Lysine metabolism',-1000,1000,'(89874.1)','4','3A0000269',185,'','SAB PMID 11083877','PMID:11083877',,
'2DR1PP','2-deoxy-D-ribose 1-phosphate phosphorylase','h2o[c] + 2dr1p[c]  => pi[c] + drib[c] ','Pyrimidine catabolism',0,1000,'','2','3A0000000',176,'3.1.3.10','NCD','PMID:9693094',,
'2HBO','2-Hydroxybutyrate:NAD+ oxidoreductase','2hb[c] + nad[c]  <=> h[c] + 2obut[c] + nadh[c] ','Propanoate metabolism',-1000,1000,'(92483.1) or (3948.2) or (55293.1) or (3945.1 and 3939.1) or (3939.1) or (160287.1) or (3945.1) or (3948.1)','4','3A0000269',176,'1.1.1.27','NCD',"'PMID:10108,PMID:21765'",,
'2HBt2','2-hydroxybutyrate cotransport with proton','2hb[e] + h[e]  <=> h[c] + 2hb[c] ',"'Transport, extracellular'",-1000,1000,'(9123.1) or (9194.1) or (6566.1)','4','3A0000269',185,'','NCD',"'PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713'",,
'2HCO3_NAt','bicarbonate transport (Na/HCO3 1:2 cotransport)','2 hco3[e] + na1[e]  <=> 2 hco3[c] + na1[c] ',"'Transport, extracellular'",-1000,1000,'(57835.3) or (8671.1) or (57835.2) or (57835.1) or (57835.4)','4','3A0000269',185,'','MM','PMID:14722772',,
'2MCITt','2-methylcitrate transport via diffusion','2mcit[c]  <=> 2mcit[e] ',"'Transport, extracellular'",-1000,1000,'','2','3A0000000',185,'','MM','PMID:426765',,
'2OXOADOXm','2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)','2oxoadp[m] + coa[m] + nad[m]  => co2[m] + glutcoa[m] + nadh[m] ','Lysine metabolism',0,1000,'(4967.1) and (1738.1 and 8050.1) and (1743.1) or (4967.2) and (1738.1 and 8050.1) and (1743.1)','2','3A0000304',176,'2.3.1.61','SAB','',,
'2OXOADPTm','2-oxoadipate shuttle (cytosol/mitochondria)','akg[m] + 2oxoadp[c]  <=> akg[c] + 2oxoadp[m] ','Tryptophan metabolism',-1000,1000,'(89874.1)','4','3A0000269',185,'','SAB PMID 11083877','PMID:11083877',,
'34DHOXPEGOX',"'3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase'",'h[c] + nadh[c] + 34dhmald[c]  <=> nad[c] + 34dhoxpeg[c] ','Tyrosine metabolism',-1000,1000,'(130.1) or (127.1) or (125.1 and 124.1) or (131.1) or (126.1 and 124.1) or (128.1) or (137872.1) or (125.1 and 126.1)','4','3A0000269',176,'1.1.1.1','SAB','PMID:3466164',,
'34DHOXPEGt',"'3,4-Dihydroxyphenylethyleneglycol transport (diffusion)'",'34dhoxpeg[c]  <=> 34dhoxpeg[e] ',"'Transport, extracellular'",-1000,1000,'','2','3A0000000',185,'','SAB','PMID:7473774',,
'34DHPHAMT',"'3,4-Dihydroxyphenylacetate:amet O-methyltransferase'",'34dhpha[c] + amet[c]  => h[c] + ahcys[c] + homoval[c] ','Tyrosine metabolism',0,1000,'(1312.1) or (1312.2)','1','3A0000212',176,'2.1.1.6','SAB','PMID:1847521',,
'34DHPHEt',"'3,4-Dihydroxy-L-phenylalanine transport'",'34dhphe[e]  <=> 34dhphe[c] ',"'Transport, extracellular'",-1000,1000,'(117247.1)','4','3A0000269',185,'','NCD','PMID:11827462',,
'34DHPLACOX',"'3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase'",'h2o[c] + nad[c] + 34dhpac[c]  => 2 h[c] + nadh[c] + 34dhpha[c] ','Tyrosine metabolism',0,1000,'(218.1) or (222.1) or (220.1) or (221.1)','4','3A0000269',176,'1.2.1.5','SAB',"'PMID:11306106,PMID:2071588'",,
'34DHPLACOX_NADP_',"'3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase'",'h2o[c] + nadp[c] + 34dhpac[c]  <=> 2 h[c] + nadph[c] + 34dhpha[c] ','Tyrosine metabolism',-1000,1000,'(222.1) or (221.1) or (218.1)','4','3A0000269',176,'1.2.1.5','SAB',"'PMID:11306106,PMID:2071588'",,
'34DHXMANDACOX',"'3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase'",'h2o[c] + nad[c] + 34dhmald[c]  => 2 h[c] + nadh[c] + 34dhoxmand[c] ','Tyrosine metabolism',0,1000,'(221.1) or (218.1) or (220.1)','4','3A0000269',176,'1.2.1.5','SAB',"'PMID:10424772,PMID:12616643'",,
'34DHXMANDACOX_NADP_',"'3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase'",'h2o[c] + nadp[c] + 34dhmald[c]  <=> 2 h[c] + nadph[c] + 34dhoxmand[c] ','Tyrosine metabolism',-1000,1000,'(221.1) or (222.1)','4','3A0000269',176,'1.2.1.5','SAB',"'PMID:10424772,PMID:12616643'",,
'34HPLFM','3-(4-hydroxyphenyl-)lactate formation','h[m] + nadh[m] + 34hpp[m]  => nad[m] + 34hpl[m] ','Ubiquinone synthesis',0,1000,'','2','3A0000000',176,'','IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.',"'PMID:11583838,PMID:12232327'",,
'34HPPOR','4-Hydroxyphenylpyruvate:oxygen oxidoreductase','o2[c] + 34hpp[c]  => co2[c] + hgentis[c] ','Tyrosine metabolism',0,1000,'(3242.1)','4','3A0000269',176,'1.13.11.27','','',,
'35CGMPtn','35cGMP nuclear transport','35cgmp[c]  <=> 35cgmp[n] ',"'Transport, nuclear'",-1000,1000,'','2','3A0000000',185,'','IT','',,
'3AIBt','3-amino-isobutyrate transport','3aib[c]  => 3aib[e] ',"'Transport, extracellular'",0,1000,'','2','3A0000000',185,'','HOW?  IT','',,
