enzyme_id,enzyme_ecnum,reaction_id,Gene-reaction-association
1,1.1.1.1,2369,'(5476.1) and (2720.1) and (2588.1) and (4758.1) or (5476.1) and (2720.1)'
1,1.1.1.1,5631,'(5092.1) or (84105.1)'
1,1.1.1.1,4074,'(2194.1)'
1,1.1.1.1,6087,'(137872.1)'
1,1.1.1.1,47,'(130.1) or (127.1) or (125.1 and 124.1) or (131.1) or (126.1 and 124.1) or (128.1) or (137872.1) or (125.1 and 126.1)'
1,1.1.1.1,363,'(130.1) or (125.1) or (125.1 and 124.1) or (128.1) or (126.1) or (284273.2) or (137872.1) or (127.1) or (124.1) or (126.1 and 124.1) or (284273.1) or (125.1 and 126.1) or (131.1)'
1,1.1.1.1,362,'(127.1) or (284273.2) or (125.1) or (128.1) or (131.1) or (125.1 and 124.1) or (124.1) or (130.1) or (137872.1) or (125.1 and 126.1) or (126.1 and 124.1) or (284273.1) or (126.1)'
1,1.1.1.1,366,'(125.1 and 126.1) or (137872.1) or (125.1 and 124.1) or (127.1) or (130.1) or (284273.1) or (126.1) or (124.1) or (128.1) or (125.1) or (126.1) or (284273.2) or (131.1) or (126.1 and 124.1)'
1,1.1.1.1,361,'(124.1) or (131.1) or (130.1) or (125.1 and 124.1) or (125.1 and 126.1) or (128.1) or (127.1) or (126.1 and 124.1) or (125.1) or (137872.1) or (284273.1) or (126.1) or (284273.2)'
1,1.1.1.1,6086,'(10901.1)'
1,1.1.1.1,5632,''
1,1.1.1.1,6592,''
2,1.1.1.10,3736,''
3,1.1.1.102,63,'(2531.1)'
4,1.1.1.105,3177,'(5959.1) or (8608.1)'
4,1.1.1.105,3179,'(5959.1)'
4,1.1.1.105,3181,'(5959.1)'
4,1.1.1.105,3180,'(195814.1) or (112724.1) or (145226.1) or (51109.1) or (57665.1) or (50700.1)'
4,1.1.1.105,3178,'(157506.1) or (112724.1) or (145226.1) or (51109.1) or (195814.1) or (57665.1) or (50700.1)'
4,1.1.1.105,3182,'(112724.1) or (145226.1) or (51109.1) or (57665.1) or (195814.1)'
4,1.1.1.105,3176,''
5,1.1.1.12,160,''
6,1.1.1.133,3493,''
7,1.1.1.14,3335,'(81537.1)'
7,1.1.1.14,5549,'(1591.1)'
8,1.1.1.145,6162,'(64834.1)'
8,1.1.1.145,6164,'(3283.1) or (3284.1)'
8,1.1.1.145,6163,''
9,1.1.1.146,2277,''
10,1.1.1.15,4111,'(1892.1) or (1962.1) or (3030.1)'
11,1.1.1.153,3418,'(6647.1)'
11,1.1.1.153,3420,'(6611.1)'
11,1.1.1.153,3896,'(594.1) or (641649.1)'
12,1.1.1.161,3995,'(AI924226.1) or (53354.1) or (80025.1) or (79646.1) or (55229.1) or (100128062.1)'
13,1.1.1.170,4298,''
13,1.1.1.170,4299,''
13,1.1.1.170,4300,''
14,1.1.1.181,4026,'(2717.1) or (6173.1)'
15,1.1.1.184,5668,'(874.1) or (873.1)'
15,1.1.1.184,6083,'(874.1) or (873.1)'
15,1.1.1.184,6365,'(874.1) or (873.1)'
15,1.1.1.184,6463,'(874.1) or (873.1)'
15,1.1.1.184,6506,'(874.1) or (873.1)'
15,1.1.1.184,6513,'(874.1) or (873.1)'
15,1.1.1.184,6541,'(874.1) or (873.1)'
15,1.1.1.184,6639,'(874.1) or (873.1)'
15,1.1.1.184,6642,'(874.1) or (873.1)'
15,1.1.1.184,6364,'(5337.1)'
15,1.1.1.184,5667,'(373156.1)'
15,1.1.1.184,6512,'(240.1)'
15,1.1.1.184,6540,'(2053.1)'
15,1.1.1.184,5669,'(10901.1)'
15,1.1.1.184,6084,'(10901.1)'
15,1.1.1.184,6366,'(10901.1)'
15,1.1.1.184,6464,'(10901.1)'
15,1.1.1.184,6507,'(10901.1)'
15,1.1.1.184,6514,'(10901.1)'
15,1.1.1.184,6640,'(10901.1)'
15,1.1.1.184,6641,'(10901.1)'
15,1.1.1.184,6643,'(10901.1)'
15,1.1.1.184,6638,'(10728.1)'
15,1.1.1.184,6082,''
15,1.1.1.184,6085,''
15,1.1.1.184,6462,''
15,1.1.1.184,6505,''
16,1.1.1.188,5970,''
16,1.1.1.188,6589,''
16,1.1.1.188,6590,''
17,1.1.1.19,2170,''
18,1.1.1.197,640,'(873.1)'
18,1.1.1.197,639,''
19,1.1.1.2,6020,'(3295.1) or (1962.1)'
19,1.1.1.2,6055,'(1591.1)'
19,1.1.1.2,367,'(10327.1) or (10327.2)'
19,1.1.1.2,5394,'(10005.1) or (122970.1) or (570.1)'
20,1.1.1.20,2074,'(5834.1) or (5836.1) or (5837.1)'
21,1.1.1.204,3712,'(7498.1)'
21,1.1.1.204,3709,''
21,1.1.1.204,3711,''
22,1.1.1.205,2332,'(471.1)'
23,1.1.1.21,3065,'(8574.1)'
23,1.1.1.21,3336,'(6652.1)'
23,1.1.1.21,1933,'(26290.1) or (79695.1) or (2589.1) or (50614.1) or (8693.1) or (55568.2) or (114805.1) or (11226.1) or (117248.1) or (11227.1) or (55568.1) or (2590.1) or (51809.1) or (26290.1) or (79623.1) or (63917.1) or (2591.1)'
23,1.1.1.21,2370,'(128.1)'
23,1.1.1.21,382,'(10327.2) or (8574.1) or (10327.1) or (231.1)'
23,1.1.1.21,383,'(10327.2) or (8574.1) or (10327.1) or (231.1)'
23,1.1.1.21,418,'(10327.2) or (8574.1) or (10327.1) or (231.1)'
23,1.1.1.21,3064,''
23,1.1.1.21,5550,''
24,1.1.1.211,4067,''
25,1.1.1.22,3618,'(7355.1)'
26,1.1.1.220,4027,'(570.1)'
27,1.1.1.225,2286,'(51478.1)'
27,1.1.1.225,2287,'(1109.1)'
28,1.1.1.27,3821,'(H77542.1) or (5313.1) or (5315.1)'
28,1.1.1.27,41,'(92483.1) or (3948.2) or (55293.1) or (3945.1 and 3939.1) or (3939.1) or (160287.1) or (3945.1) or (3948.1)'
28,1.1.1.27,2384,'(3945.1 and 3939.1) or (160287.1) or (3948.2) or (3939.1) or (3948.1) or (55293.1) or (3945.1) or (92483.1)'
28,1.1.1.27,2385,'(3939.1)'
28,1.1.1.27,2383,'(197257.1) or (197257.2)'
28,1.1.1.27,2265,''
28,1.1.1.27,2510,''
29,1.1.1.270,4297,''
30,1.1.1.271,1981,'(2673.1) or (9945.1)'
30,1.1.1.271,4109,'(1962.1) or (3033.1) or (3030.1) or (3028.1) or (3295.1)'
31,1.1.1.272,3384,''
32,1.1.1.28,2382,'(51380.1) or (2571.1) or (2572.1) or (2571.2)'
33,1.1.1.284,4414,''
34,1.1.1.30,555,'(57733.1)'
35,1.1.1.31,2236,'(3081.1)'
36,1.1.1.34,3935,''
37,1.1.1.35,4063,'(AI924226.1) or (53354.1) or (80025.1) or (79646.1) or (55229.1) or (100128062.1)'
37,1.1.1.35,4064,'(AI924226.1) or (53354.1) or (80025.1) or (79646.1) or (55229.1) or (100128062.1)'
37,1.1.1.35,4057,'(80270.1)'
37,1.1.1.35,6216,'(64834.1)'
37,1.1.1.35,6254,'(64834.1)'
37,1.1.1.35,4061,'(5805.1)'
37,1.1.1.35,6624,'(5742.1) or (5743.1)'
37,1.1.1.35,6647,'(51.1)'
37,1.1.1.35,5402,'(50484.1)'
37,1.1.1.35,5579,'(3295.1) or (1962.1) or (3033.1) or (3028.1)'
37,1.1.1.35,5582,'(3295.1) or (1962.1) or (3033.1) or (3028.1)'
37,1.1.1.35,6322,'(3295.1) or (1962.1) or (3033.1) or (3028.1)'
37,1.1.1.35,6386,'(3295.1) or (1962.1) or (3033.1) or (3028.1)'
37,1.1.1.35,6392,'(3295.1) or (1962.1) or (3033.1) or (3028.1)'
37,1.1.1.35,6489,'(3295.1) or (1962.1) or (3033.1) or (3028.1)'
37,1.1.1.35,6616,'(3295.1) or (1962.1) or (3033.1) or (3028.1)'
37,1.1.1.35,6649,'(3295.1) or (1962.1) or (3033.1) or (3028.1)'
37,1.1.1.35,5580,'(3295.1) or (1962.1)'
37,1.1.1.35,5583,'(3295.1) or (1962.1)'
37,1.1.1.35,6014,'(3295.1) or (1962.1)'
37,1.1.1.35,6017,'(3295.1) or (1962.1)'
37,1.1.1.35,6625,'(3295.1) or (1962.1)'
37,1.1.1.35,5404,'(3030.1) or (3295.1) or (1962.1) or (3033.1) or (3028.1) or (3032.1)'
37,1.1.1.35,6013,'(3030.1) or (3295.1) or (1962.1) or (3033.1) or (3028.1) or (3032.1)'
37,1.1.1.35,6016,'(3030.1) or (3295.1) or (1962.1) or (3033.1) or (3028.1) or (3032.1)'
37,1.1.1.35,6019,'(3030.1) or (3295.1) or (1962.1) or (3033.1) or (3028.1) or (3032.1)'
37,1.1.1.35,6255,'(3030.1) or (3295.1) or (1962.1) or (3033.1) or (3028.1) or (3032.1)'
37,1.1.1.35,6256,'(3030.1) or (3295.1) or (1962.1) or (3033.1) or (3028.1) or (3032.1)'
37,1.1.1.35,2212,'(3028.1) or (3033.1) or (3030.1) and (3032.1)'
37,1.1.1.35,6385,'(3028.1)'
37,1.1.1.35,6391,'(3028.1)'
37,1.1.1.35,6488,'(3028.1)'
37,1.1.1.35,6615,'(3028.1)'
37,1.1.1.35,6648,'(3028.1)'
37,1.1.1.35,4076,'(2194.1)'
37,1.1.1.35,2213,'(1962.1) or (3295.1)'
37,1.1.1.35,5577,'(1962.1)'
37,1.1.1.35,6059,'(1962.1)'
37,1.1.1.35,6063,'(1962.1)'
37,1.1.1.35,6139,'(1962.1)'
37,1.1.1.35,6144,'(1962.1)'
37,1.1.1.35,6148,'(1962.1)'
37,1.1.1.35,6194,'(1962.1)'
37,1.1.1.35,6320,'(1962.1)'
37,1.1.1.35,6384,'(1962.1)'
37,1.1.1.35,6487,'(1962.1)'
37,1.1.1.35,6614,'(1962.1)'
37,1.1.1.35,6079,'(1892.1) or (3030.1) or (1962.1) or (3032.1)'
37,1.1.1.35,6425,'(1892.1) or (3030.1) or (1962.1) or (3032.1)'
37,1.1.1.35,6437,'(1892.1) or (3030.1) or (1962.1) or (3032.1)'
37,1.1.1.35,6440,'(1892.1) or (3030.1) or (1962.1) or (3032.1)'
37,1.1.1.35,4052,'(1892.1) or (1962.1) or (3030.1)'
37,1.1.1.35,6431,'(1666.1)'
37,1.1.1.35,2211,'(10026.1) and (8733.1) and (128869.1) and (94005.1) and (51604.1)'
37,1.1.1.35,6390,'(10005.1) or (122970.1) or (570.1)'
37,1.1.1.35,4053,''
37,1.1.1.35,4056,''
37,1.1.1.35,4060,''
37,1.1.1.35,4070,''
37,1.1.1.35,5403,''
37,1.1.1.35,5578,''
37,1.1.1.35,5581,''
37,1.1.1.35,5584,''
37,1.1.1.35,6011,''
37,1.1.1.35,6012,''
37,1.1.1.35,6015,''
37,1.1.1.35,6018,''
37,1.1.1.35,6321,''
38,1.1.1.37,2514,'(4357.1)'
38,1.1.1.37,3385,'(4190.1) or (130752.1)'
38,1.1.1.37,2515,'(130752.1) or (4190.1)'
39,1.1.1.40,2518,'(4200.1)'
39,1.1.1.40,2519,'(4199.1)'
39,1.1.1.40,2517,''
40,1.1.1.41,2310,'(3177.1)'
41,1.1.1.42,3796,'(AI971036.1) or (3417.1) or (3418.1)'
41,1.1.1.42,3904,'(AA081045.1) or (AI620219.1) or (219.1) or (217.1) or (224.1) or (501.1) or (223.1) or (AU149534.1) or (T83654.1)'
41,1.1.1.42,3905,'(AA081045.1) or (AI620219.1) or (219.1) or (217.1) or (224.1) or (501.1) or (223.1) or (AU149534.1) or (T83654.1)'
41,1.1.1.42,3794,'(8659.1)'
41,1.1.1.42,3906,'(7498.1)'
41,1.1.1.42,3903,'(6576.1)'
41,1.1.1.42,2311,'(3421.2 and 3420.3 and 3419.1) or (3420.1 and 3421.1 and 3419.1) or (3420.1 and 3421.1 and 3419.1) or (3420.3 and 3421.1 and 3419.1) or (3421.1 and 3419.1 and 3420.2) or (3421.2 and 3419.1 and 3420.2)'
41,1.1.1.42,2312,'(3417.1)'
41,1.1.1.42,2313,'(3417.1)'
41,1.1.1.42,3795,'(2875.1) or (84706.1)'
42,1.1.1.44,2124,'(5226.1)'
42,1.1.1.44,2123,''
42,1.1.1.44,7359,''
43,1.1.1.45,2169,''
44,1.1.1.47,1882,'(2539.1)'
44,1.1.1.47,1880,'(132789.1) or (10007.1)'
45,1.1.1.49,1881,'(9563.1)'
46,1.1.1.50,6159,'(64834.1)'
46,1.1.1.50,4079,'(2194.1)'
46,1.1.1.50,5646,'(1576.1)'
46,1.1.1.50,341,'(1109.1)'
46,1.1.1.50,342,'(1109.1)'
46,1.1.1.50,4078,''
46,1.1.1.50,5793,''
47,1.1.1.59,70,''
47,1.1.1.59,3875,''
48,1.1.1.62,6797,'(6534.1)'
48,1.1.1.62,2284,'(51478.1)'
48,1.1.1.62,2283,'(3295.1)'
48,1.1.1.62,2285,'(3294.1)'
48,1.1.1.62,2280,'(3292.1) or (7923.1)'
48,1.1.1.62,2279,'(3291.1)'
48,1.1.1.62,5965,'(23600.1)'
49,1.1.1.72,3841,'(84532.1) or (55902.1) or (79611.1)'
49,1.1.1.72,3842,'(1719.1) or (HG2846-HT2983.1)'
50,1.1.1.78,364,'(126.1) or (137872.1) or (126.1 and 124.1) or (127.1) or (130.1) or (284273.1) or (125.1 and 124.1) or (128.1) or (124.1) or (125.1) or (284273.2) or (131.1) or (125.1 and 126.1)'
51,1.1.1.79,2266,'(3948.1) or (197257.1) or (3945.1) or (160287.1) or (3945.1 and 3939.1) or (92483.1) or (3939.1) or (197257.2) or (3948.2)'
51,1.1.1.79,2099,''
52,1.1.1.8,3829,'(AV717590.1) or (953.1) or (956.1) or (377841.1)'
53,1.1.1.88,2248,'(3145.1)'
54,1.1.1.9,3732,'(6515.1)'
55,1.1.1.94,1874,''
56,1.1.1.95,2955,'(5210.1) or (5207.1) or (5209.1) or (5208.1)'
57,1.1.3.12,3886,''
58,1.1.3.15,2090,'(3939.1) or (55293.1) or (3945.1 and 3939.1) or (197257.1) or (92483.1) or (3945.1) or (160287.1) or (3948.1) or (197257.2) or (3948.2)'
59,1.1.5.3,3830,''
60,1.1.99.1,665,'(8714.3) or (8647.1) or (8714.2) or (8714.1)'
61,1.1.99.5,1875,'(2819.1)'
62,1.11.1.6,3775,'(AI990637.1) or (64077.1) or (5464.1) or (27068.1)'
62,1.11.1.6,631,'(847.1)'
62,1.11.1.6,630,'(6547.6) or (6547.4) or (6547.2) or (6546.1) or (6547.1) or (6547.5) or (6543.1) or (6547.3)'
62,1.11.1.6,628,''
63,1.11.1.7,3079,'(8288.1)'
63,1.11.1.7,5505,'(7173.1) or (9588.1)'
63,1.11.1.7,5884,'(7173.1) or (9588.1)'
63,1.11.1.7,5888,'(7173.1) or (9588.1)'
63,1.11.1.7,6006,'(7173.1) or (9588.1)'
63,1.11.1.7,6150,'(7173.1) or (9588.1)'
63,1.11.1.7,3545,'(6567.1)'
63,1.11.1.7,5507,'(4353.1) or (9588.1)'
63,1.11.1.7,5886,'(4353.1) or (9588.1)'
63,1.11.1.7,5890,'(4353.1) or (9588.1)'
63,1.11.1.7,6151,'(4353.1) or (9588.1)'
63,1.11.1.7,5887,'(4353.1)'
63,1.11.1.7,5506,'(4025.1)'
63,1.11.1.7,5885,'(4025.1)'
63,1.11.1.7,5889,'(4025.1)'
63,1.11.1.7,6007,'(4025.1)'
63,1.11.1.7,6149,'(3295.1) or (1962.1)'
63,1.11.1.7,5504,'(276.1) or (277.1) or (278.1) or (279.1) or (276.1) or (277.1) or (278.1) or (279.1) or (280.1) or (84569.1)'
63,1.11.1.7,3078,'(10606.1)'
63,1.11.1.7,5883,''
63,1.11.1.7,6005,''
64,1.11.1.8,2315,'(7173.4) or (7173.1) or (7173.3) or (7173.2) or (7173.5)'
64,1.11.1.8,2316,'(7173.4) or (7173.1) or (7173.3) or (7173.2) or (7173.5)'
64,1.11.1.8,2317,'(7173.4) or (7173.1) or (7173.3) or (7173.2) or (7173.5)'
64,1.11.1.8,2314,'(3418.1)'
65,1.11.1.9,2155,'(7001.3) or (5052.3) or (2877.1) or (2876.2) or (5052.2) or (2876.1) or (5052.1) or (7001.1) or (2879.1) or (7001.2)'
65,1.11.1.9,2154,'(2936.1)'
65,1.11.1.9,6562,'(2880.1) or (257202.1) or (2882.1) or (2878.1)'
65,1.11.1.9,6561,'(2879.1)'
65,1.11.1.9,2156,'(2878.1) or (257202.1)'
65,1.11.1.9,6563,'(2876.1) or (2879.1)'
65,1.11.1.9,6560,'(2053.1)'
66,1.13.11.11,3576,'(7166.1) or (121278.1)'
67,1.13.11.19,3952,'(6576.1)'
68,1.13.11.20,792,''
69,1.13.11.27,3072,'(79717.1)'
69,1.13.11.27,56,'(3242.1)'
70,1.13.11.31,378,'(242.1)'
70,1.13.11.31,377,'(239.1)'
70,1.13.11.31,6111,'(239.1)'
70,1.13.11.31,6572,'(239.1)'
70,1.13.11.31,6577,'(239.1)'
70,1.13.11.31,6110,''
70,1.13.11.31,6571,''
70,1.13.11.31,6573,''
70,1.13.11.31,6574,''
70,1.13.11.31,6575,''
70,1.13.11.31,6576,''
70,1.13.11.31,6578,''
71,1.13.11.33,379,'(247.1) or (246.1)'
72,1.13.11.34,6510,'(8529.1) or (4051.1) or (126410.1)'
72,1.13.11.34,380,'(240.1)'
72,1.13.11.34,381,'(240.1)'
72,1.13.11.34,5750,'(240.1)'
72,1.13.11.34,6109,'(240.1)'
72,1.13.11.34,6122,'(240.1)'
72,1.13.11.34,6532,'(240.1)'
72,1.13.11.34,6551,'(240.1)'
72,1.13.11.34,6121,'(239.1)'
72,1.13.11.34,6120,'(2053.1)'
72,1.13.11.34,6542,'(10901.1)'
72,1.13.11.34,6531,'(10728.1)'
72,1.13.11.34,6549,'(10400.1)'
72,1.13.11.34,5749,''
72,1.13.11.34,6107,''
72,1.13.11.34,6108,''
72,1.13.11.34,6123,''
72,1.13.11.34,6511,''
72,1.13.11.34,6516,''
72,1.13.11.34,6517,''
72,1.13.11.34,6543,''
72,1.13.11.34,6550,''
73,1.13.11.42,2522,'(8802.1 and 8801.1)'
73,1.13.11.42,3426,'(6716.1) or (6715.1)'
74,1.13.11.5,2235,''
75,1.13.11.52,120,'(3620.1)'
76,1.13.11.6,64,'(23498.1)'
77,1.13.99.1,2333,'(3614.1) or (3615.1) or (3614.2)'
78,1.14.11.1,552,'(8659.2) or (217.1) or (8659.1) or (219.1)'
79,1.14.11.18,2984,'(1644.1)'
79,1.14.11.18,6129,''
80,1.14.11.2,3089,'(5625.1)'
81,1.14.11.4,2923,'(130013.1)'
82,1.14.11.8,3555,'(7298.1)'
83,1.14.13.15,4075,'(2194.1)'
83,1.14.13.15,2863,'(1593.1)'
83,1.14.13.15,2864,'(1593.1)'
83,1.14.13.15,2865,'(1593.1)'
83,1.14.13.15,2866,'(1593.1)'
83,1.14.13.15,2867,'(1593.1)'
83,1.14.13.15,2862,'(1589.1)'
84,1.14.13.17,2891,'(11283.1)'
85,1.14.13.30,5847,'(8529.1) or (4051.1) or (126410.1)'
85,1.14.13.30,5853,'(8529.1) or (4051.1) or (126410.1)'
85,1.14.13.30,6095,'(8529.1) or (4051.1) or (126410.1)'
85,1.14.13.30,6101,'(8529.1) or (4051.1) or (126410.1)'
85,1.14.13.30,6103,'(8529.1) or (4051.1) or (126410.1)'
85,1.14.13.30,6467,'(8529.1) or (4051.1) or (126410.1)'
85,1.14.13.30,6469,'(8529.1) or (4051.1) or (126410.1)'
85,1.14.13.30,6568,'(373156.1)'
85,1.14.13.30,6414,'(26.1)'
85,1.14.13.30,6544,'(240.1)'
85,1.14.13.30,6093,'(1543.1) or (1544.1) or (1571.1) or (1576.1) or (1558.1) or (1565.1) or (1548.1) or (1588.1) or (1559.1) or (1580.1) or (1555.1) or (1577.1) or (1549.1) or (1551.1) or (1572.1) or (1562.1) or (1573.1) or (11283.1) or (1545.1) or (1553.1) or (199974.1) or (260293.1) or (29785.1) or (64816.1) or (57834.1) or (66002.1)'
85,1.14.13.30,6465,'(10901.1)'
85,1.14.13.30,6508,'(10901.1)'
85,1.14.13.30,5845,''
85,1.14.13.30,5846,''
