1,2892,"O2+proton+Nicotinamide adenine dinucleotide phosphate - reduced+25-hydroxycholesterol = > Water+Nicotinamide adenine dinucleotide phosphate+7alpha,25-dihydroxycholesterol"
2,"6669 , 6670","Water+Benzo[a]pyrene-4,5-oxide <  = > 2proton+Benzo[a]pyrene-4,5-diol"
3,66,Water+(S)-3-Hydroxyisobutyryl-CoA = > proton+Coenzyme A+3-hydroxy-2-methylpropanoate
4,4727,Sodium+L-tyrosine+L-leucine = > Sodium+L-leucine+L-tyrosine
5,1996,Water+heptaglutamyl folate (DHF) = > L-glutamate(1-)+hexaglutamyl folate (DHF)
6,1180,estriol <  = > estriol
7,"4162 , 7388",Putrescine <  = > Putrescine
8,4347,ATP+Coenzyme A+gamma-linolenate = > AMP+Diphosphate+gamma-linolenoyl-CoA(4-)
9,2705,Water+dUDP = > proton+hydrogenphosphate+dUMP
10,"3050 , 3053 , 3054 , 3055 , 3774",Water+Diphosphate = > proton+2hydrogenphosphate
11,"6068 , 6069","2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA <  = > trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA"
12,1943,proton+D-Glucose 1-phosphate+UTP <  = > Diphosphate+UDPglucose
13,4228,"5beta-cholestane-3alpha,7alpha,26-triol <  = > 5beta-cholestane-3alpha,7alpha,26-triol"
14,3474,3-(4-hydroxyphenyl)lactate = > Water+trans-4-coumarate
15,3983,L-fucose = > L-Fuculose
16,4910,Sodium+Ornithine+L-homoserine = > Sodium+Ornithine+L-homoserine
17,"6512 , 6513 , 6514","Nicotinamide adenine dinucleotide phosphate+5(S)-HETE <  = > proton+Nicotinamide adenine dinucleotide phosphate - reduced+5-oxo-(6E,8Z,11Z,14Z)-eicosatetraenoic acid"
18,5732,"proton+Nicotinamide adenine dinucleotide phosphate - reduced+15-oxo-lipoxin A4 <  = > Nicotinamide adenine dinucleotide phosphate+13,14-dihydro-15-oxo-lipoxin A4"
19,4415,proton+Nicotinamide adenine dinucleotide phosphate - reduced+zymosterol <  = > Nicotinamide adenine dinucleotide phosphate+5alpha-cholest-8-en-3beta-ol
20,6334,"N,N-dimethyldopaminequinone <  = > 2proton+N,N-dimethylindoliumolate"
21,6983,Water+Flavin adenine dinucleotide oxidized+Tetradecanoyl-CoA (n-C14:0CoA) = > Flavin adenine dinucleotide reduced+(S)-3-Hydroxytetradecanoyl-CoA
22,6360,8alpha-hydroxy-gama-tocopherone <  = > gama-tocopheryl quinone
23,4079,"Nicotinamide adenine dinucleotide phosphate+5beta-cholestane-3alpha,7alpha,12alpha-triol <  = > proton+Nicotinamide adenine dinucleotide phosphate - reduced+7alpha,12alpha-dihydroxy-5beta-cholestan-3-one"
24,269,ATP+Adenosine = > ADP+proton+AMP
25,5018,(R)-3-hydroxybutyrate+pyruvate <  = > pyruvate+(R)-3-hydroxybutyrate
26,2250,Water+Acetyl-CoA+Acetoacetyl-CoA = > proton+Coenzyme A+Hydroxymethylglutaryl-CoA
27,"936 , 937",Digalactosylceramide <  = > Digalactosylceramide
28,"3668 , 3669",Urate = > Urate
29,1119,2-deoxy-D-ribose <  = > 2-deoxy-D-ribose
30,2544,"ATP+myo-inositol 1,3,4,5,6-pentakisphosphate(10-) = > ADP+proton+myo-inositol hexakisphosphate(12-)"
31,3817,proton+2-Oxoglutarate+Thiamine diphosphate <  = > carbon dioxide+3-Carboxy-1-hydroxypropyl-ThPP
32,"6283 , 6284",proton+Nicotinamide adenine dinucleotide phosphate - reduced+3-oxo-11-cis-eicosenoyl-CoA <  = > Nicotinamide adenine dinucleotide phosphate+3(S)-hydroxy-11-cis-eicosenoyl-CoA
33,1287,bis(beta-glucosyluronate)bilirubin <  = > 
34,"616 , 617","Water+cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA <  = > 3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA"
35,7422,Folate = > 
36,3209,GDP+Reduced thioredoxin = > Water+dGDP+Oxidized thioredoxin
37,1562,thiamine(1+) triphosphate(4-) <  = > 
38,"800 , 3531",Sodium+L-cysteine+L-threonine = > Sodium+L-cysteine+L-threonine
39,3620,UDP-D-glucuronate+UMP <  = > UDP-D-glucuronate+UMP
40,4561,L-asparagine+L-methionine <  = > L-asparagine+L-methionine
41,"3088 , 7386",Nicotinamide adenine dinucleotide+L-proline = > 2proton+Nicotinamide adenine dinucleotide - reduced+1-Pyrroline-5-carboxylate
42,7431,S-Adenosyl-L-homocysteine <  = > 
43,1523,11-cis-retinol <  = > 
44,3852,"carbon dioxide+Nicotinamide adenine dinucleotide - reduced+Ammonium+5,10-Methylenetetrahydrofolate = > Nicotinamide adenine dinucleotide+Glycine+5,6,7,8-Tetrahydrofolate"
45,3882,proton+2-Oxoglutarate+lipoamide = > carbon dioxide+S-Succinyldihydrolipoamide
46,1672,4Nicotinamide adenine dinucleotide+4Coenzyme A+Palmitoyl-CoA (n-C16:0CoA)+4O2+4Water = > 4proton+4Nicotinamide adenine dinucleotide - reduced+4Acetyl-CoA+Octanoyl-CoA (n-C8:0CoA)+4Hydrogen peroxide
47,"6622 , 6623","2O2+(8Z,11Z,14Z)-eicosatrienoic acid = > prostaglandin G1"
48,1636,ATP+Coenzyme A+eicosatetranoic acid <  = > AMP+Diphosphate+eicosatetranoyl coenzyme A
49,5151,Bicarbonate+glutathionyl-leuc4+20-hydroxy-arachidonate <  = > Bicarbonate+glutathionyl-leuc4+20-hydroxy-arachidonate
50,6917,adipoyl carnitine <  = > 
51,1037,ADP+dTTP = > ADP+dTTP
52,2085,L-glutamate(1-) = > L-glutamate(1-)
53,7267,2Sodium+Adenosine = > 2Sodium+Adenosine
54,5909,Xanthurenic acid <  = > proton+oxoxanthurenate
55,1239,acetate <  = > 
56,5073,Bicarbonate+chenodeoxycholate+S-glutathionyl-2-4-dinitrobenzene <  = > Bicarbonate+chenodeoxycholate+S-glutathionyl-2-4-dinitrobenzene
57,7190,Water+Glycylsarcosine <  = > Glycine+Sarcosine
58,4579,L-phenylalanine+L-proline <  = > L-proline+L-phenylalanine
59,4067,Nicotinamide adenine dinucleotide+(S)-Hydroxyoctanoyl-CoA = > proton+Nicotinamide adenine dinucleotide - reduced+3-Oxooctanoyl-CoA
60,5772,"formaldehyde+tryptaminium <  = > Water+1,2,3,4-tetrahydro-beta-carboline"
61,6929,tetradecadienoyl carnitine <  = > 
62,3204,retinol = > retinol
63,5147,Bicarbonate+bis(beta-glucosyluronate)bilirubin+S-glutathionyl-ethacrynic-acid <  = > Bicarbonate+bis(beta-glucosyluronate)bilirubin+S-glutathionyl-ethacrynic-acid
64,4445,L-alanine = > L-alanine
65,3524,proton+Thiamin = > proton+Thiamin
66,4520,Glycine+L-isoleucine <  = > Glycine+L-isoleucine
67,120,O2+5-hydroxy-L-tryptophan = > 5-hydroxy-N-formylkynurenine
68,2399,Water+N-formyl-L-kynurenine = > proton+L-alanine+N-formylanthranilate
69,1706,Nicotinamide adenine dinucleotide+Coenzyme A+O2+Water+tetracosatetraenoyl coenzyme A = > proton+Nicotinamide adenine dinucleotide - reduced+Acetyl-CoA+Hydrogen peroxide+adrenyl coenzyme A
70,933,dIDP <  = > dIDP
71,5015,pyruvate+(S)-lactate <  = > pyruvate+(S)-lactate
72,6105,"12-oxo-20-dihydroxy-leukotriene B4 <  = > Water+12,20-dioxo-leukotriene B4"
73,5921,"2O2+proton+2Nicotinamide adenine dinucleotide phosphate - reduced+7alpha,26-dihydroxycholesterol = > 3Water+2Nicotinamide adenine dinucleotide phosphate+3beta,7alpha-dihydroxy-5-cholestenoate"
