new_reaction_id,old_reaction_id,abbreviation,reaction_name,reaction_equation,pathway_id
10,3050,'PPA','inorganic diphosphatase','h2o[c] + ppi[c]  => h[c] + 2 pi[c] ',33
10,3054,'PPAm','inorganic diphosphatase','h2o[m] + ppi[m]  => h[m] + 2 pi[m] ',33
10.1,3053,'PPAer',"'inorganic diphosphatase, endoplasmic reticulum'",'h2o[r] + ppi[r]  => h[r] + 2 pi[r] ',36
10.1,3055,'PPAn',"'inorganic diphosphatase, nuclear'",'h2o[n] + ppi[n]  => h[n] + 2 pi[n] ',36
10.2,3774,'r0009','Pyrophosphate phosphohydrolase EC:3.6.1.1','h2o[x] + ppi[x]  => h[x] + 2 pi[x] ',38
41,3088,'PRO1xm',"'proline oxidase (NAD), mitochondrial'",'nad[m] + pro_L[m]  => 2 h[m] + nadh[m] + 1pyr5c[m] ',92
41.1,7386,'PRO1x','L-ProlineNAD+ 5-oxidoreductase','nad[c] + pro_L[c]  => 2 h[c] + nadh[c] + 1pyr5c[c] ',101
409,3955,'r0546','Phenylacetaldehyde:NAD+ oxidoreductase Phenylalanine metabolism / Styrene degradation EC:1.2.1.5 EC:1.2.1.39','h2o[m] + nad[m] + pacald[m]  <=> 2 h[m] + nadh[m] + pac[m] ',80
409.1,3954,'r0545','Phenylacetaldehyde:NAD+ oxidoreductase Phenylalanine metabolism / Styrene degradation EC:1.2.1.5 EC:1.2.1.39','h2o[c] + nad[c] + pacald[c]  <=> 2 h[c] + nadh[c] + pac[c] ',86
528,1626,'FACOAL181i','C181 fatty acid activation','atp[c] + coa[c] + ocdcea[c]  => amp[c] + ppi[c] + odecoa[c] ',41
528,4344,'r1255','EC:6.2.1.3','atp[r] + coa[r] + ocdcea[r]  => amp[r] + ppi[r] + odecoa[r] ',41
528.1,7221,'OLEICFATPtc','uptake of octadecenoate by the enterocytes','atp[c] + coa[c] + ocdcea[e]  => amp[c] + ppi[c] + odecoa[c] ',101
605,6848,'C40CPT1','production of butyrylcarnitine','crn[c] + btcoa[c]  <=> coa[c] + c4crn[c] ',41
605.1,6856,'C4x','esterification of butyrylcoa to butyrylcarnitine for transport','crn[x] + btcoa[x]  <=> coa[x] + c4crn[x] ',101
650,4006,'r0642',"'(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase Valine, leucine and isoleucine degradation EC:1.2.1.3'",'h2o[c] + nad[c] + 2mop[c]  <=> 2 h[c] + nadh[c] + HC00900[c] ',80
650.1,4007,'r0643',"'(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase Valine, leucine and isoleucine degradation EC:1.2.1.3'",'h2o[m] + nad[m] + 2mop[m]  <=> 2 h[m] + nadh[m] + HC00900[m] ',94
705,4082,'r0754','3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase Tyrosine metabolism EC:1.2.1.5','h2o[m] + nad[m] + 3mox4hpac[m]  <=> 2 h[m] + nadh[m] + homoval[m] ',80
705.1,73,'3M4HDXPAC','3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase','h2o[c] + nad[c] + 3mox4hpac[c]  <=> 2 h[c] + nadh[c] + homoval[c] ',91
798,1874,'G3PD1','glycerol-3-phosphate dehydrogenase (NAD)','nad[c] + glyc3p[c]  <=> h[c] + nadh[c] + dhap[c] ',73
798.1,3829,'r0202','sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase Glycerophospholipid metabolism EC:1.1.1.8','nad[x] + glyc3p[x]  <=> h[x] + nadh[x] + dhap[x] ',78
831,442,'R_group_phosphotase_3','R group phosphotase 3','atp[c] + coa[c] + Rtotal3[c]  => amp[c] + ppi[c] + Rtotal3coa[c] ',80
