tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,13,0,live,AADAC,"CES5A1, DAC",arylacetamide deacetylase,arylacetamide deacetylase (esterase),3q25.1,3,NC_000003.12,151813974,151828488,plus,6,600338
9606,Homo sapiens,15,0,live,AANAT,"DSPS, SNAT",aralkylamine N-acetyltransferase,arylalkylamine N-acetyltransferase|serotonin N-acetyltransferase|serotonin acetylase,17q25.1,17,NC_000017.11,76453351,76470117,plus,8,600950
9606,Homo sapiens,18,0,live,ABAT,"hCG_1984265, GABA-AT, GABAT, NPD009",4-aminobutyrate aminotransferase,"(S)-3-amino-2-methylpropionate transaminase|4-aminobutyrate aminotransferase, mitochondrial|4-aminobutyrate transaminase|GABA aminotransferase|GABA transaminase|GABA transferase|gamma-amino-N-butyrate transaminase",16p13.2,16,NC_000016.10,8674587,8784575,plus,19,137150
9606,Homo sapiens,19,0,live,ABCA1,"ABC-1, ABC1, CERP, HDLDT1, TGD","ATP-binding cassette, sub-family A (ABC1), member 1",ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|cholesterol efflux regulatory protein|membrane-bound,9q31.1,9,NC_000009.12,104781002,104928246,minus,54,600046
9606,Homo sapiens,26,0,live,AOC1,"ABP, ABP1, DAO, DAO1, KAO","amine oxidase, copper containing 1",amiloride binding protein 1 (amine oxidase (copper-containing))|amiloride-binding protein 1|amiloride-sensitive amine oxidase|amiloride-sensitive amine oxidase [copper-containing]|amine oxidase copper domain-containing protein 1|diamine oxidase|histaminase|kidney amine oxidase,7q36.1,7,NC_000007.14,150824627,150861291,plus,8,104610
9606,Homo sapiens,28,0,live,ABO,"A3GALNT, A3GALT1, GTB, NAGAT","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","ABO A3 transferase|ABO glycosyltransferase|ABO weak transfer|B(A) alpha-1,3-galactosyltransferase|fucosylglycoprotein 3-alpha-galactosyltransferase|fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase|glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase|glycoprotein-fucosylgalactoside alpha-galactosyltransferase|histo-blood group A transferase|histo-blood group A2 transferase|histo-blood group ABO system transferase|histo-blood group B transferase",9q34.2,9,NC_000009.12,133255176,133275214,minus,7,110300
9606,Homo sapiens,30,0,live,ACAA1,"ACAA, PTHIO, THIO",acetyl-CoA acyltransferase 1,"3-ketoacyl-CoA thiolase, peroxisomal|acetyl-Coenzyme A acyltransferase 1|beta-ketothiolase|peroxisomal 3-oxoacyl-CoA thiolase|peroxisomal 3-oxoacyl-Coenzyme A thiolase",3p22.2,3,NC_000003.12,38122710,38137242,minus,11,604054
9606,Homo sapiens,31,0,live,ACACA,"ACACD, ACC, ACC1, ACCA, ACACA",acetyl-CoA carboxylase alpha,ACC-alpha|acetyl-CoA carboxylase 1|acetyl-Coenzyme A carboxylase alpha,17q21,17,NC_000017.11,37084992,37406822,minus,67,200350
9606,Homo sapiens,32,0,live,ACACB,"ACC2, ACCB, HACC275",acetyl-CoA carboxylase beta,ACC-beta|acetyl-CoA carboxylase 2|acetyl-Coenzyme A carboxylase beta,12q24.11,12,NC_000012.12,109116431,109268226,plus,56,601557
9606,Homo sapiens,33,0,live,ACADL,"ACAD4, LCAD","acyl-CoA dehydrogenase, long chain","acyl-Coenzyme A dehydrogenase, long chain|long-chain specific acyl-CoA dehydrogenase, mitochondrial",2q34,2,NC_000002.12,210187908,210225491,minus,12,609576
